col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
9FZZK	B6LPD	accepted	family	Cicadidae	Batsch, 1789
8JLQP	9FZZK	accepted	genus	Paleopsalta	Moulds, 2018
8JLDT	9FZZK	accepted	genus	Kintusamo	Szwedo, 2019
V5TX	9FZZK	provisionally accepted	species	Cicada inexacta	Walker, 1858
5Z4Y8	9FZZK	provisionally accepted	species	Cicada amphibia	Pontoppidan, 1763
V5XW	9FZZK	provisionally accepted	species	Cicada muscilliformis	Capanni, 1894
V5RL	9FZZK	provisionally accepted	species	Cicada gmelini	Metcalf, 1963
V6BF	9FZZK	provisionally accepted	species	Cicada thlaspi	Piller & Mitterpacher, 1783
V5F8	9FZZK	provisionally accepted	species	Cicada argentea	de Villers, 1789
8HMK6	9FZZK	accepted	genus	Miocenoprasia	Boulard & Riou, 1999
V5HB	9FZZK	provisionally accepted	species	Cicada buphthalmica	Gravenhorst, 1807
V5QY	9FZZK	provisionally accepted	species	Cicada fuscomaculosa	Metcalf, 1963
BSXRP	9FZZK	provisionally accepted	species	Cicada tristis	Fourcroy, 1785
V5YT	9FZZK	provisionally accepted	species	Cicada nodosa	Walker, 1850
V5KZ	9FZZK	provisionally accepted	species	Cicada costai	Metcalf, 1963
5YSY7	9FZZK	provisionally accepted	species	Cicada alboguttata	Goeze, 1778
V5R9	9FZZK	provisionally accepted	species	Cicada geographica	Goeze, 1778
V5N7	9FZZK	provisionally accepted	species	Cicada effecta	Walker, 1858
V5NN	9FZZK	provisionally accepted	species	Cicada erythroptera	Gmelin, 1789
BTGC3	9FZZK	provisionally accepted	species	Tettigonia conspurcata	Fabricius, 1777
V652	9FZZK	provisionally accepted	species	Cicada punctulata	Gmelin, 1789
V66P	9FZZK	provisionally accepted	species	Cicada rubroelytrata	Goeze, 1778
V6DH	9FZZK	provisionally accepted	species	Cicada variola	Gravenhorst, 1807
BSXVG	9FZZK	provisionally accepted	species	Cicada novella	Metcalf, 1963
V5MG	9FZZK	provisionally accepted	species	Cicada dipalliata	Capanni, 1894
BSXRM	9FZZK	provisionally accepted	species	Cicada sexpunctata	Gmelin, 1789
V62J	9FZZK	provisionally accepted	species	Cicada pallescens	Müller, 1776
V5JS	9FZZK	provisionally accepted	species	Cicada cinerea	Rossi, 1792
V5H5	9FZZK	provisionally accepted	species	Cicada brazilensis	Metcalf, 1963
V669	9FZZK	provisionally accepted	species	Cicada rivulosa	Gmelin, 1789
V5P4	9FZZK	provisionally accepted	species	Cicada fasciaaurata	de Villers, 1789
V5Y8	9FZZK	provisionally accepted	species	Cicada neuroptera	Gmelin, 1789
V5DL	9FZZK	provisionally accepted	species	Cicada afona	Costa, 1834
V69Q	9FZZK	provisionally accepted	species	Cicada squalida	Müller, 1776
V62D	9FZZK	provisionally accepted	species	Cicada palearctica	Metcalf, 1963
V5VL	9FZZK	provisionally accepted	species	Cicada lugubris	Gmelin, 1789
BSXVQ	9FZZK	provisionally accepted	species	Cicada regalis	Fourcroy, 1785
5YSYM	9FZZK	provisionally accepted	species	Cicada intacta	Walker, 1852
5Z4NV	9FZZK	provisionally accepted	species	Cicada scutata	Goeze, 1778
V5M3	9FZZK	provisionally accepted	species	Cicada devillersi	Metcalf, 1963
5YSZN	9FZZK	provisionally accepted	species	Cicada notata	Scopoli, 1763
V5PQ	9FZZK	provisionally accepted	species	Cicada flava	Linnaeus, 1758
5YSQ9	9FZZK	provisionally accepted	species	Cicada vitrata	de Villers, 1789
8HBS7	9FZZK	accepted	subfamily	Cicadettinae	Buckton, 1890
8HBVF	9FZZK	accepted	subfamily	Tibicininae	Distant, 1905
V5S2	9FZZK	provisionally accepted	species	Cicada guineensis	Metcalf, 1963
5Z4ZP	9FZZK	provisionally accepted	species	Cicada lineola	Schrank, 1801
