col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKTJ	8NKR2	accepted	subfamily	Conocephalinae	Kirby & Spence, 1826
8PMVK	8NKTJ	synonym	subfamily	Conocephalidae	Kirby & Spence, 1826
9GTSV	8NKTJ	accepted	tribe	Euconchophorini	Gorochov, 1988
8PSZT	8NKTJ	accepted	tribe	Coniungopterini	Rentz & Gurney, 1985
8NVSF	8NKTJ	accepted	genus	Nemoricultrix	Mello-Leitão, 1940
8NS5L	8NKTJ	accepted	genus	Graminofolium	Nickle, 2007
8PT28	8NKTJ	accepted	tribe	Copiphorini	Karny, 1912
8NR7C	8NKTJ	accepted	genus	Elasmometopus	Chopard, 1952
8NR5H	8NKTJ	accepted	genus	Ebneria	Karny, 1920
8PSNN	8NKTJ	synonym	subfamily	Conocephalidi	Kirby & Spence, 1826
8PSYQ	8NKTJ	accepted	tribe	Cestrophorini	Gorochov, 2015
8PSWR	8NKTJ	accepted	tribe	Armadillagraeciini	Rentz, Su & Ueshima, 2012
8PSZV	8NKTJ	accepted	tribe	Conocephalini	Kirby & Spence, 1826
8PS3B	8NKTJ	accepted	tribe	Agraeciini	Redtenbacher, 1891
8NX6W	8NKTJ	accepted	genus	Paulianacris	Chopard, 1952
8NRK3	9GTSV	accepted	genus	Euconchophora	Brongniart, 1897
8NLVX	9GTSV	accepted	genus	Amblylakis	Redtenbacher, 1891
8NPWP	9GTSV	accepted	genus	Colossopus	Saussure, 1899
8NW72	9GTSV	accepted	genus	Odontolakis	Redtenbacher, 1891
8NTXH	9GTSV	accepted	genus	Malagasopus	Ünal & Beccaloni, 2017
8NW9K	9GTSV	accepted	genus	Oncodopus	Brongniart, 1897
8NV9J	8PSZT	accepted	genus	Metholce	Walker, 1871
8P2PD	8PSZT	accepted	genus	Veria	Walker, 1869
8NPY9	8PSZT	accepted	genus	Coniungoptera	Rentz & Gurney, 1985
4695C	8NVSF	accepted	species	Nemoricultrix costaribeiroi	Mello-Leitão, 1940
6L46V	8NS5L	accepted	species	Graminofolium adustus	Nickle, 2007
8PV3M	8NS5L	synonym	genus	Graminifolium	Nickle, 2007
8PN2C	8NS5L	synonym	genus	Amazonicesa	Koçak & Kemal, 2010
8PNR5	8NS5L	synonym	genus	Cesabrazilia	Koçak & Kemal, 2010
9GQQG	8NS5L	accepted	species	Graminofolium amazonensis	(Piza, 1958)
9GVTW	8NS5L	synonym	genus	Machaira	Piza, 1958
6KRV8	8NS5L	accepted	species	Graminofolium castneri	Nickle, 2007
8NNDT	8PT28	accepted	genus	Copiphora	Serville, 1831
8NQ3M	8PT28	accepted	genus	Coryphodes	Redtenbacher, 1891
8NTLR	8PT28	accepted	genus	Liostethus	Redtenbacher, 1891
8NXQS	8PT28	accepted	genus	Podacanthophorus	Naskrecki, 2000
8NN3D	8PT28	accepted	genus	Banza	Walker, 1870
8P288	8PT28	accepted	genus	Toledopizia	Chamorro-Rengifo & Braun, 2010
8NTM5	8PT28	accepted	genus	Lirometopum	Scudder, 1875
8NXQR	8PT28	accepted	genus	Poascirtus	Saussure, 1899
8NTBT	8PT28	accepted	genus	Lanistoides	Sjöstedt, 1913
8NV2G	8PT28	accepted	genus	Mayacephalus	Cadena-Castañeda, Monzón-Sierra & Cortés-Torres, 2016
8NWQ2	8PT28	accepted	genus	Parabucrates	Scudder, 1897
8NMXC	8PT28	accepted	genus	Caulopsis	Redtenbacher, 1891
8NMPB	8PT28	accepted	genus	Artiotonus	Montealegre-Z., Morris, Sarria-S. & Mason, 2011
8NR33	8PT28	accepted	genus	Dorycoryphus	Redtenbacher, 1891
8NPKY	8PT28	accepted	genus	Euconocephalus	Karny, 1907
8NS7N	8PT28	accepted	genus	Gryporhynchium	Uvarov, 1940
8NV5G	8PT28	accepted	genus	Melanophoxus	Karny, 1907
8NXQJ	8PT28	accepted	genus	Pluviasilva	Naskrecki, 2000
8NYGP	8PT28	accepted	genus	Pyrgocorypha	Stål, 1873
8P2X2	8PT28	accepted	genus	Xestophrys	Redtenbacher, 1891
8NMPK	8PT28	accepted	genus	Bucrates	Burmeister, 1838
8P2PQ	8PT28	accepted	genus	Vestria	Stål, 1874
8NNGV	8PT28	accepted	genus	Brachycaulopsis	Fontana, Mariño-Pérez & Woller, 2013
8NXFG	8PT28	accepted	genus	Phaneracra	Uvarov, 1936
8PT26	8PT28	synonym	tribe	Copiphoridae	Karny, 1912
8NTNH	8PT28	accepted	genus	Loboscelis	Redtenbacher, 1891
8NNFW	8PT28	accepted	genus	Borinquenula	Walker & Gurney, 1972
8NX7L	8PT28	accepted	genus	Pedinostethus	Redtenbacher, 1891
8NPPC	8PT28	accepted	genus	Clasma	Karsch, 1893
8NMFK	8PT28	accepted	genus	Belocephalus	Scudder, 1875
8NWMZ	8PT28	accepted	genus	Panacanthus	Walker, 1869
8NZDL	8PT28	accepted	genus	Sphodrophoxus	Hebard, 1924
9GYD7	8PT28	accepted	genus	Parvarhynchus	Farooqi & Usmani, 2020
8NRH2	8PT28	accepted	genus	Erioloides	Hebard, 1927
8PVD4	8PT28	accepted	genus	Rombophora	Yong, 2019
8NY93	8PT28	accepted	genus	Pseudorhynchus	Serville, 1838
8NL9C	8PT28	accepted	genus	Acantheremus	Karny, 1907
8PT27	8PT28	synonym	tribe	Copiphorinae	Karny, 1912
9H27Q	8PT28	accepted	genus	Ibityraboia	Mendes & Silva-Neto, 2022
8NRJL	8PT28	accepted	genus	Eucaulopsis	Hebard, 1931
8NYSZ	8PT28	accepted	genus	Ruspolia	Schulthess, 1898
8NV8F	8PT28	accepted	genus	Metacaputus	Naskrecki, 2000
8NRH3	8PT28	accepted	genus	Eriolus	Bolívar, 1888
8NMF8	8PT28	accepted	genus	Apoecides	Bolívar, 1914
8NXNK	8PT28	accepted	genus	Plastocorypha	Karsch, 1896
8PVHH	8PT28	accepted	genus	Unicorniella	Yong, 2019
8NVKD	8PT28	accepted	genus	Moncheca	Walker, 1869
8NVLC	8PT28	accepted	genus	Montesa	Walker, 1869
8PGS8	8PT28	accepted	genus	Anacaona	Yong, 2019
8NRNY	8PT28	accepted	genus	Eurymetopa	Redtenbacher, 1891
8NTB4	8PT28	accepted	genus	Lamniceps	Bolívar, 1903
8NWJF	8PT28	accepted	genus	Oxyprora	Stål, 1873
8NQKM	8PT28	accepted	genus	Daedalellus	Uvarov, 1940
8NTBS	8PT28	accepted	genus	Lanista	Bolívar, 1890
8NNR5	8PT28	accepted	genus	Caetitus	Antunes, Chamorro-Rengifo & Takiya, 2018
8NT2Z	8PT28	accepted	genus	Neoconocephalus	Karny, 1907
8NVMZ	8PT28	accepted	genus	Mygalopsis	Redtenbacher, 1891
8NXJQ	8PT28	accepted	genus	Phoxacris	Karny, 1907
8NYVM	8PT28	accepted	genus	Santandera	Koçak & Kemal, 2008
8NX67	8PT28	accepted	genus	Paroxyprora	Karny, 1907
394NJ	8NR7C	accepted	species	Elasmometopus madecassus	Chopard, 1952
6DRSS	8NR5H	accepted	species	Ebneria poecila	Karny, 1920
8NP95	8PSYQ	accepted	genus	Cestrophorus	Redtenbacher, 1891
8NL8Y	8PSYQ	accepted	genus	Acanthacara	Scudder, 1869
8NT4G	8PSWR	accepted	genus	Kapalgagraecia	Rentz, Su, Ueshima & Robinson, 2010
8NMMT	8PSWR	accepted	genus	Armadillagraecia	Rentz, Su, Ueshima & Robinson, 2010
8NTK6	8PSWR	accepted	genus	Lichenagraecia	Rentz, Su & Ueshima, 2012
8NV22	8PSZV	accepted	genus	Orchelimum	Serville, 1838
8PTQR	8PSZV	accepted	subtribe	Karniellina	Hemp & Heller, 2010
8NTRR	8PSZV	accepted	genus	Luzoniella	Karny, 1926
8NRS3	8PSZV	accepted	genus	Fatuhivella	Hebard, 1933
8PTNV	8PSZV	synonym	tribe	Xiphidiinae	Redtenbacher, 1891
8NW47	8PSZV	accepted	genus	Nukuhivella	Hebard, 1933
8PTNW	8PSZV	synonym	tribe	Xiphidiini	Redtenbacher, 1891
8P2XC	8PSZV	accepted	genus	Xiphelimum	Caudell, 1906
8NTM4	8PSZV	accepted	genus	Lipotactomimus	Naskrecki, 2000
8NRB5	8PSZV	accepted	genus	Enoplocephalacris	Chopard, 1952
8NTPP	8PSZV	accepted	genus	Odontoxiphidium	Morse, 1901
8NRQC	8PSZV	accepted	genus	Euxiphidion	Bruner, 1915
8NND3	8PSZV	accepted	genus	Conocephalus	Thunberg, 1815
9GW5H	8PSZV	accepted	subtribe	Conocephalina	Kirby & Spence, 1826
8NPXP	8PSZV	accepted	genus	Conanalus	Tinkham, 1943
8P263	8PSZV	accepted	genus	Thyridorhoptrum	Rehn & Hebard, 1915
8NX4C	8PSZV	accepted	genus	Paraxiphidium	Redtenbacher, 1891
8NLRC	8PS3B	accepted	genus	Allomenus	Saussure, 1899
8NQ3N	8PS3B	accepted	genus	Coryphodonta	Bey-Bienko, 1935
BTPM6	8PS3B	accepted	genus	Philmontoides	Ingrisch, 2022
8NYKR	8PS3B	accepted	genus	Redtenbachus	Chamorro-Rengifo & Lopes-Andrade, 2015
BSL3V	8PS3B	accepted	infratribe	Axylus	Ingrisch, 2015
8PV3P	8PS3B	accepted	genus	Greenagraecia	Rentz & Su, 2020
8NP8Y	8PS3B	accepted	genus	Cesacomora	Koçak & Kemal, 2009
8PV3X	8PS3B	accepted	genus	Haudrhytidaspis	Ingrisch, 2019
8NLLP	8PS3B	accepted	genus	Afroanthracites	Hemp & Ingrisch, 2013
8PV3B	8PS3B	accepted	genus	Geoffagraecia	Rentz & Su, 2020
8PV73	8PS3B	accepted	genus	Nanoagraecia	Ingrisch, 2020
8NSX8	8PS3B	accepted	genus	Ingrischagraecia	Rentz, Su & Ueshima, 2012
8NYJM	8PS3B	accepted	genus	Ragoniella	Chamorro-Rengifo & Lopes-Andrade, 2015
8PTXB	8PS3B	accepted	genus	Barbaragraecia	Rentz & Su, 2020
8PV57	8PS3B	accepted	genus	Larifugagraecia	Rentz & Su, 2020
8NRFH	8PS3B	accepted	genus	Episattus	Brongniart, 1897
8NY7R	8PS3B	accepted	genus	Pseudonicsara	Karny, 1912
8NTP4	8PS3B	accepted	genus	Loja	Giglio-Tos, 1898
8NRFX	8PS3B	accepted	genus	Erechthis	Bolívar, 1888
8NYQS	8PS3B	accepted	genus	Rhytidaspis	Redtenbacher, 1891
8NWP7	8PS3B	accepted	genus	Papuacites	Ingrisch, 2015
8NWVL	8PS3B	accepted	genus	Paralobaspis	Giglio-Tos, 1898
8NXH3	8PS3B	accepted	genus	Philmontis	Willemse, 1966
8NRFP	8PS3B	accepted	genus	Eppia	Stål, 1875
8NQTX	8PS3B	accepted	genus	Dicranacrus	Redtenbacher, 1891
8NX36	8PS3B	accepted	genus	Parasubria	Karny, 1911
8NWVS	8PS3B	accepted	genus	Paramacroxiphus	Willemse, 1961
9H2FX	8PS3B	accepted	genus	Cooloolagraecia	Rentz, Su & Ueshima, 2021
8NRX4	8PS3B	accepted	genus	Gallienia	Brongniart, 1897
8NS8Z	8PS3B	accepted	genus	Habetia	Kirby, 1906
8NZDN	8PS3B	accepted	genus	Sphyrometopa	Carl, 1908
8PVHR	8PS3B	accepted	genus	Wuyjugu	Tavares, 2020
8QJ94	8PS3B	accepted	genus	Parahabetia	Ingrisch, 2021
9GZRD	8PS3B	accepted	genus	Warimiri	Tavares, de Mello & Mendes, 2021
BTPFW	8PS3B	accepted	genus	Kaindiagraecia	Ingrisch, 2023
8PTPD	8PS3B	accepted	subtribe	Agraeciina	Redtenbacher, 1891
8NR8V	8PS3B	accepted	genus	Emeraldagraecia	Rentz, Su & Ueshima, 2012
9H2DF	8PS3B	accepted	genus	Timbarragraecia	Rentz, Su & Ueshima, 2021
8PSVF	8PS3B	synonym	tribe	Agroeciini	Redtenbacher, 1891
BSRKJ	8PS3B	accepted	genus	Papucera	Gorochov, 2016
8NZMY	8PS3B	accepted	genus	Subria	Stål, 1874
8NLLF	8PS3B	accepted	genus	Aethiomerus	Redtenbacher, 1891
BTPBN	8PS3B	accepted	genus	Cuspicera	Ingrisch, 2023
8NVQC	8PS3B	accepted	genus	Nannagroecia	Redtenbacher, 1891
8NZMZ	8PS3B	accepted	genus	Subrioides	Willemse, 1966
8NWLL	8PS3B	accepted	genus	Palaeoagraecia	Ingrisch, 1998
