col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKVB	8NKKY	accepted	subfamily	Eneopterinae	Saussure, 1874
8PSP7	8NKVB	synonym	subfamily	Eneopterites	Saussure, 1874
8PTC2	8NKVB	accepted	tribe	Nisitrini	Robillard, 2004
8NXXM	8NKVB	accepted	genus	Proecanthus	Sharov, 1968
9GVLK	8NKVB	accepted	tribe	Eurepini	Robillard, 2004
8PT4J	8NKVB	accepted	tribe	Eneopterini	Saussure, 1874
8NNLW	8NKVB	accepted	genus	Brontogryllus	Martins-Neto, 1991
8PT8H	8NKVB	accepted	tribe	Lebinthini	Robillard, 2004
8PTNS	8NKVB	accepted	tribe	Xenogryllini	Robillard, 2004
8PT73	8NKVB	accepted	tribe	Hemigryllini	Gorochov, 1986
8Q9BD	8NKVB	accepted	genus	Antillobinthus	Yong & Desutter-Grandcolas, 2020
8PSRV	8NKVB	synonym	subfamily	Platydactylidae	Brunner von Wattenwyl, 1873
9GVKD	8NKVB	synonym	subfamily	Eneopteridae	Saussure, 1874
8PSP6	8NKVB	synonym	subfamily	Eneopteriens	Saussure, 1874
8NVZY	8PTC2	accepted	genus	Nisitrus	Saussure, 1878
8NWXH	8PTC2	accepted	genus	Paranisitra	Chopard, 1925
4MQJP	8NXXM	accepted	species	Proecanthus anatolicus	Sharov, 1968
8PQSH	9GVLK	accepted	genus	Piestodactylus	Saussure, 1878
8NMMD	9GVLK	accepted	genus	Arilpa	Otte & Alexander, 1983
8NYV2	9GVLK	accepted	genus	Salmanites	Chopard, 1951
8NRNG	9GVLK	accepted	genus	Eurepella	Otte & Alexander, 1983
C4LN6	9GVLK	accepted	genus	Arrakis	Robillard, Tan & Su, 2024
8NRNF	9GVLK	accepted	genus	Eurepa	Walker, 1869
8PQ8S	9GVLK	accepted	genus	Napieria	Baehr, 1989
C4LQN	9GVLK	accepted	genus	Miripella	Robillard, Tan & Su, 2024
8NR9N	8PT4J	accepted	genus	Eneoptera	Burmeister, 1838
8PT4H	8PT4J	synonym	tribe	Eneopterii	Saussure, 1874
NDNY	8NNLW	accepted	species	Brontogryllus excelsus	Martins-Neto, 1991
B7XGQ	8PT8H	accepted	subtribe	Ligypterina	Robillard & Tan, 2021
B7XGP	8PT8H	accepted	subtribe	Lebinthina	Robillard, 2004
B7XGK	8PT8H	accepted	subtribe	Cardiodactylina	Robillard & Tan, 2021
8P2VP	8PTNS	accepted	genus	Xenogryllus	Bolívar, 1890
8PV4P	8PTNS	accepted	genus	Indigryllus	Robillard & Jaiswara, 2019
8NY6V	8PTNS	accepted	genus	Pseudolebinthus	Robillard, 2006
8NSG2	8PT73	accepted	genus	Hemigryllus	Saussure, 1877
8PT72	8PT73	synonym	tribe	Hemigryllinae	Gorochov, 1986
8QHK4	8Q9BD	accepted	species	Antillobinthus inexpectatus	Yong & Desutter-Grandcolas, 2020
8QKBJ	8NVZY	accepted	species	Nisitrus malaya	Robillard & Tan, 2021
8PP3H	8NVZY	synonym	genus	Crystallomorpha	Rehn, 1909
8QKW6	8NVZY	accepted	species	Nisitrus crucius	Robillard & Tan, 2021
47J59	8NVZY	accepted	species	Nisitrus insignis	Saussure, 1878
B3L2P	8NVZY	synonym	genus	Nisitra	Walker, 1869
8QHMK	8NVZY	accepted	species	Nisitrus rindu	Robillard & Tan, 2021
47J5C	8NVZY	accepted	species	Nisitrus musicus	Ingrisch, 1987
73ZB5	8NVZY	accepted	species	Nisitrus vittatus	(Haan, 1844)
47J58	8NVZY	accepted	species	Nisitrus hyalinus	Saussure, 1878
8QJ6B	8NVZY	accepted	species	Nisitrus danum	Robillard & Tan, 2021
6RZB5	8NVZY	accepted	species	Nisitrus maculosus	(Walker, 1871)
8QJTC	8NVZY	accepted	species	Nisitrus hughtani	Robillard & Tan, 2021
47J57	8NVZY	accepted	species	Nisitrus brunnerianus	Saussure, 1878
4D66Q	8NWXH	accepted	species	Paranisitra leytensis	Robillard, 2015
4D66T	8NWXH	accepted	species	Paranisitra septentria	Baroga-Barbecho, Yap & Robillard, 2016
4D66R	8NWXH	accepted	species	Paranisitra longipes	Chopard, 1925
4D66S	8NWXH	accepted	species	Paranisitra maculata	Gorochov, 2009
4D66P	8NWXH	accepted	species	Paranisitra diluta	Gorochov, 2009
8Q2VD	8NWXH	accepted	species	Paranisitra flavofacia	Baroga-Barbecho, Yap, Tan & Robillard, 2019
C4LP7	8PQSH	accepted	species	Piestodactylus apertus	(Otte & Alexander, 1983)
C4LQL	8PQSH	accepted	species	Piestodactylus pakaria	(Otte & Alexander, 1983)
