col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
9GTSM	8NKKY	accepted	subfamily	Gryllinae	Laicharting, 1781
8NQBC	9GTSM	accepted	genus	Cryncus	Gorochov, 1983
8NZL2	9GTSM	accepted	genus	Stilbogryllus	Gorochov, 1983
8NS77	9GTSM	accepted	genus	Grylloderes	Bolívar, 1894
8PTK6	9GTSM	accepted	tribe	Sciobiini	Randell, 1964
8NPXB	9GTSM	accepted	genus	Comidoblemmus	Storozhenko & Paik, 2009
8NSZC	9GTSM	accepted	genus	Itaropsis	Chopard, 1925
8NNT3	9GTSM	accepted	genus	Callogryllus	Sjöstedt, 1910
8NZK2	9GTSM	accepted	genus	Stephoblemmus	Saussure, 1877
BV6NR	9GTSM	synonym	subfamily	Gryllulidae	Tinkham, 1948
8PT5G	9GTSM	accepted	tribe	Eurygryllodini	Gorochov, 1990
9GW59	9GTSM	synonym	subfamily	Grylliens	Laicharting, 1781
8NW7L	9GTSM	accepted	genus	Oediblemmus	Saussure, 1898
BV6XR	9GTSM	synonym	subfamily	Gryllulinae	Tinkham, 1948
8PTBF	9GTSM	accepted	tribe	Modicogryllini	Otte & Alexander, 1983
8NLR8	9GTSM	accepted	genus	Allogryllus	Chopard, 1925
8NV72	9GTSM	accepted	genus	Meristoblemmus	Jones & Chopard, 1936
8NT2K	9GTSM	accepted	genus	Jarawasia	Koçak & Kemal, 2008
8PV7T	9GTSM	accepted	genus	Ontogryllus	Gorochov, 2019
8NS76	9GTSM	accepted	genus	Gryllodeicus	Chopard, 1939
8NZP6	9GTSM	accepted	genus	Svercoides	Gorochov, 1990
8NZBM	9GTSM	accepted	genus	Songella	Otte, 1987
8NW8J	9GTSM	accepted	genus	Oligacheta	Chopard, 1961
8P252	9GTSM	accepted	genus	Thiernogryllus	Roy, 1969
8PTN7	9GTSM	accepted	tribe	Turanogryllini	Otte, 1987
8NX28	9GTSM	accepted	genus	Parasciobia	Chopard, 1935
8PQTS	9GTSM	accepted	genus	Platygryllus	Chopard, 1961
8NW9F	9GTSM	accepted	genus	Omogryllus	Otte, 1987
8NVS9	9GTSM	accepted	genus	Nemobiodes	Chopard, 1917
8PTK7	9GTSM	accepted	tribe	Sclerogryllini	Gorochov, 1985
8NPTL	9GTSM	accepted	genus	Coiblemmus	Chopard, 1936
8PS3Y	9GTSM	accepted	tribe	Gryllini	Laicharting, 1781
8QHRB	8NQBC	accepted	species	Cryncus camerounensis	Um Nyobe, Kekeunou & Bilong Bilong, 2021
ZS8Y	8NQBC	accepted	species	Cryncus apricus	(Saussure, 1877)
6BJYM	8NQBC	accepted	species	Cryncus matuga	Otte, 1985
ZS95	8NQBC	accepted	species	Cryncus gambelae	Gorochov, 1990
ZS96	8NQBC	accepted	species	Cryncus grumeti	Otte, 1985
ZS92	8NQBC	accepted	species	Cryncus dmitrievi	Gorochov, 1983
ZS97	8NQBC	accepted	species	Cryncus illubabori	Gorochov, 1990
ZS9H	8NQBC	accepted	species	Cryncus sagalus	Otte, 1985
ZS99	8NQBC	accepted	species	Cryncus massarti	(Chopard, 1934)
ZS9L	8NQBC	accepted	species	Cryncus superciliosus	(Sjöstedt, 1910)
8QJXM	8NQBC	accepted	species	Cryncus desutterae	Um Nyobe, Kekeunou & Ma, 2021
ZS9F	8NQBC	accepted	species	Cryncus pulchellus	Gorochov, 1990
ZS8W	8NQBC	accepted	species	Cryncus agilis	Otte, 1985
ZS98	8NQBC	accepted	species	Cryncus impiger	Otte, 1985
ZS9J	8NQBC	accepted	species	Cryncus saussurei	Otte, 1985
ZS8X	8NQBC	accepted	species	Cryncus alternatus	Otte, 1985
ZS8Z	8NQBC	accepted	species	Cryncus bifasciatus	(Chopard, 1934)
6BJYN	8NQBC	accepted	species	Cryncus olsufievi	Gorochov, 1983
ZS9C	8NQBC	accepted	species	Cryncus mombo	Otte, 1985
ZS94	8NQBC	accepted	species	Cryncus episcopus	(Saussure, 1877)
ZS93	8NQBC	accepted	species	Cryncus duplicatus	Otte, 1985
ZS9K	8NQBC	accepted	species	Cryncus scenicus	(Gerstaecker, 1869)
ZS9G	8NQBC	accepted	species	Cryncus rybalovi	Gorochov, 1990
ZS9D	8NQBC	accepted	species	Cryncus notabilis	(Walker, 1869)
ZS9B	8NQBC	accepted	species	Cryncus medvedevi	Gorochov, 1990
52NVJ	8NZL2	accepted	species	Stilbogryllus nemobioides	(Chopard, 1936)
52NVH	8NZL2	accepted	species	Stilbogryllus argyropterus	(Rochebrune, 1883)
6KTZL	8NS77	accepted	species	Grylloderes brunneri	(Riggio, 1888)
BSM2V	8NS77	synonym	subgenus	Gryllodes (Grylloderes)	Bolívar, 1894
BV6TC	8PTK6	synonym	tribe	Platyblemmites	Saussure, 1877
8NYZQ	8PTK6	accepted	genus	Sciobia	Burmeister, 1838
8PTK5	8PTK6	synonym	tribe	Sciobiina	Randell, 1964
XF2J	8NPXB	accepted	species	Comidoblemmus sororius	Liu & Shi, 2015
XF2F	8NPXB	accepted	species	Comidoblemmus excavatus	Liu & Shi, 2015
