col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKKZ	8NKGB	accepted	family	Gryllotalpidae	Leach, 1815
8PSKR	8NKKZ	synonym	family	Gryllotalpida	Leach, 1815
8PSKJ	8NKKZ	synonym	family	Curtillidae	Kirby, 1906
8PRYR	8NKKZ	accepted	subfamily	Marchandiinae	Gorochov, 2010
8NKW6	8NKKZ	accepted	subfamily	Gryllotalpinae	Leach, 1815
8PSKS	8NKKZ	synonym	family	Gryllotalpides	Leach, 1815
8PSKT	8NKKZ	synonym	family	Gryllotalpina	Leach, 1815
8PS2F	8NKKZ	accepted	subfamily	Scapteriscinae	Zeuner, 1939
8NQ6L	8PRYR	accepted	genus	Cratotetraspinus	Martins-Neto, 1997
8NMJQ	8PRYR	accepted	genus	Archaeogryllotalpoides	Martins-Neto, 1991
8NWLZ	8PRYR	accepted	genus	Palaeoscapteriscops	Martins-Neto, 1991
8NTYS	8PRYR	accepted	genus	Marchandia	Perrichot, Neraudeau, Azar, Menier & Nel, 2002
8NYDX	8NKW6	accepted	genus	Pterotriamescaptor	Gorochov, 1992
8PSQ2	8NKW6	synonym	subfamily	Gryllotalpiens	Leach, 1815
8PT6K	8NKW6	synonym	tribe	Gryllotalpites	Leach, 1815
8PTMJ	8NKW6	accepted	tribe	Triamescaptorini	Cadena-Castañeda, 2015
8PT6J	8NKW6	accepted	tribe	Gryllotalpini	Leach, 1815
8PTBW	8NKW6	accepted	tribe	Neocurtillini	Cadena-Castañeda, 2015
8PT6H	8NKW6	accepted	tribe	Gryllotalpellini	Cadena-Castañeda, 2015
8PSNT	8NKW6	synonym	subfamily	Curtillinae	Kirby, 1906
8PT83	8PS2F	accepted	tribe	Indioscaptorini	Cadena-Castañeda, 2015
8PTJY	8PS2F	accepted	tribe	Scapteriscini	Zeuner, 1939
6BCJH	8NQ6L	accepted	species	Cratotetraspinus fossorius	(Martins-Neto, 1995)
8PRFP	8NQ6L	synonym	genus	Tetraspinus	Martins-Neto, 1995
G7QB	8NMJQ	accepted	species	Archaeogryllotalpoides ornatus	Martins-Neto, 1991
4C2VP	8NWLZ	accepted	species	Palaeoscapteriscops cretacea	Martins-Neto, 1991
8PV8C	8NWLZ	synonym	genus	Palaesoscapteriscops	Martins-Neto, 1991
3Y2W4	8NTYS	accepted	species	Marchandia magnifica	Perrichot, Neraudeau, Azar, Menier & Nel, 2002
4Q6T5	8NYDX	accepted	species	Pterotriamescaptor americanus	Gorochov, 2012
4Q6T7	8NYDX	accepted	species	Pterotriamescaptor tridactylinus	(Secretan, 1975)
4Q6T6	8NYDX	accepted	species	Pterotriamescaptor primus	(Cockerell, 1921)
8P2BS	8PTMJ	accepted	genus	Triamescaptor	Tindale, 1928
8NQ28	8PT6J	accepted	genus	Gryllotalpa	Latreille, 1802
8NT33	8PTBW	accepted	genus	Neocurtilla	Kirby, 1906
8NTGG	8PTBW	accepted	genus	Leptocurtilla	Cadena-Castañeda, 2015
8NS7L	8PT6H	accepted	genus	Gryllotalpella	Rehn, 1917
8NSWC	8PT83	accepted	genus	Indioscaptor	Nickle, 2003
8NVWM	8PTJY	accepted	genus	Neoscapteriscus	Cadena-Castañeda, 2015
8NYWL	8PTJY	accepted	genus	Scapteriscus	Scudder, 1868
55SDN	6BCJH	synonym	species	Tetraspinus fossorius	Martins-Neto, 1995
4C2ZK	4C2VP	synonym	species	Palaesoscapteriscops cretacea	Martins-Neto, 1991
3HGFR	4Q6T7	synonym	species	Gryllotalpa tridactylina	Secretan, 1975
8PZ8V	4Q6T7	synonym	species	Gryllotalpa tridacylina	
8PBRD	4Q6T6	synonym	species	Gryllotalpa prima	Cockerell, 1921
585CK	8P2BS	accepted	species	Triamescaptor aotea	Tindale, 1928
3HGFY	8NQ28	accepted	species	Gryllotalpa wallace	Tan, 2012
3HGFS	8NQ28	accepted	species	Gryllotalpa unispina	Saussure, 1874
8QKLQ	8NQ28	accepted	species	Gryllotalpa punana	Meena & Swaminathan, 2021
8PBR9	8NQ28	ambiguous synonym	species	Gryllotalpa australis	Otte & Alexander, 1983
3HGDZ	8NQ28	accepted	species	Gryllotalpa hirsuta	Burmeister, 1838
3HGDX	8NQ28	accepted	species	Gryllotalpa henana	Cai & Niu, 1998
C79YP	8NQ28	accepted	species	Gryllotalpa tamessei	Kekeunou & Simeu-Noutchom, 2024
3HGDR	8NQ28	accepted	species	Gryllotalpa fulvipes	Saussure, 1877
8PZ8W	8NQ28	accepted	species	Gryllotalpa weisei	Simeu-Noutchom & Kekeunou, 2020
3HGD4	8NQ28	accepted	species	Gryllotalpa chinensis	Donovan & Westwood, 1838
6L5NT	8NQ28	accepted	species	Gryllotalpa pluvialis	(Mjöberg, 1913)
6L5N6	8NQ28	accepted	species	Gryllotalpa madecassa	(Chopard, 1920)
3HGF8	8NQ28	accepted	species	Gryllotalpa pilosipes	Tindale, 1928
6L5NZ	8NQ28	accepted	species	Gryllotalpa obscura	Chopard, 1966
3HGF7	8NQ28	accepted	species	Gryllotalpa permai	Tan & Kamaruddin, 2016
3HGCR	8NQ28	accepted	species	Gryllotalpa australis	Erichson, 1842
6L5N5	8NQ28	accepted	species	Gryllotalpa mabiana	Ma, Xu & Takeda, 2008
3HGDQ	8NQ28	accepted	species	Gryllotalpa fraser	Tan & Kamaruddin, 2013
3HGFP	8NQ28	accepted	species	Gryllotalpa tali	Broza, Blondheim & Nevo, 1998
3HGFW	8NQ28	accepted	species	Gryllotalpa vineae	Bennet-Clark, 1970
3HGDG	8NQ28	accepted	species	Gryllotalpa debilis	Gerstaecker, 1869
BT2XK	8NQ28	accepted	species	Gryllotalpa africana	Palisot de Beauvois, 1820
6L5MY	8NQ28	accepted	species	Gryllotalpa cultriger	Uhler, 1864
3HGDD	8NQ28	accepted	species	Gryllotalpa cossyrensis	Baccetti & Capra, 1978
6KTMT	8NQ28	accepted	species	Gryllotalpa krishnani	Arun Prasanna, Anbalagan, Pandiarajan, Dinakaran & Krishnan, 2012
8PBRC	8NQ28	ambiguous synonym	species	Gryllotalpa pilosipes	Otte & Alexander, 1983
6KTNZ	8NQ28	accepted	species	Gryllotalpa nymphicus	Tan, 2012
6KTNW	8NQ28	accepted	species	Gryllotalpa minuta	Burmeister, 1838
6KTMR	8NQ28	accepted	species	Gryllotalpa gracilis	Chopard, 1930
6KTNX	8NQ28	accepted	species	Gryllotalpa monanka	Otte & Alexander, 1983
8PP44	8NQ28	synonym	genus	Curtilla	Oken, 1815
6L5NY	8NQ28	accepted	species	Gryllotalpa nitidula	Serville, 1838
C79YJ	8NQ28	accepted	species	Gryllotalpa cameroonensis	Simeu-Noutchom & Kekeunou, 2024
3HGFF	8NQ28	accepted	species	Gryllotalpa robusta	Townsend, 1983
3HGF9	8NQ28	accepted	species	Gryllotalpa pluridens	Townsend, 1983
3HGFZ	8NQ28	accepted	species	Gryllotalpa wudangensis	Li, Ma & Xu, 2007
3HGFN	8NQ28	accepted	species	Gryllotalpa stepposa	Zhantiev, 1991
3HGD3	8NQ28	accepted	species	Gryllotalpa chiliensis	Saussure, 1861
3HGD7	8NQ28	accepted	species	Gryllotalpa coarctata	Walker, 1869
3HGFK	8NQ28	accepted	species	Gryllotalpa septemdecimchromosomica	Ortiz, 1958
6L5MQ	8NQ28	accepted	species	Gryllotalpa microptera	Chopard, 1939
8PNBC	8NQ28	synonym	genus	Austrotalpa	Mjöberg, 1913
3HGFD	8NQ28	accepted	species	Gryllotalpa pygmaea	Ingrisch, 1990
6KTNV	8NQ28	accepted	species	Gryllotalpa quindecim	Baccetti & Capra, 1978
3HGDM	8NQ28	accepted	species	Gryllotalpa formosana	Shiraki, 1930
6KTMQ	8NQ28	accepted	species	Gryllotalpa maroccana	Baccetti, 1987
6L5N4	8NQ28	accepted	species	Gryllotalpa krimbasi	Baccetti, 1992
6KTNS	8NQ28	accepted	species	Gryllotalpa octodecim	Baccetti & Capra, 1978
3HGDJ	8NQ28	accepted	species	Gryllotalpa devia	Saussure, 1877
3HGDS	8NQ28	accepted	species	Gryllotalpa fusca	Chopard, 1930
3HGFG	8NQ28	accepted	species	Gryllotalpa rufescens	Chopard, 1948
6L5NS	8NQ28	accepted	species	Gryllotalpa orientalis	Burmeister, 1838
3HGCX	8NQ28	accepted	species	Gryllotalpa breviabdominis	Ma & Zhang, 2011
3HGDF	8NQ28	accepted	species	Gryllotalpa cycloptera	Ma & Zhang, 2011
3HGD5	8NQ28	accepted	species	Gryllotalpa choui	Ma & Zhang, 2010
3HGCS	8NQ28	accepted	species	Gryllotalpa aveyronensis	Handschin, 1944
6L5NW	8NQ28	accepted	species	Gryllotalpa miocaenica	Zeuner, 1931
3HGF4	8NQ28	accepted	species	Gryllotalpa oya	Tindale, 1928
8PBRB	8NQ28	ambiguous synonym	species	Gryllotalpa oya	Otte & Alexander, 1983
6KTNY	8NQ28	accepted	species	Gryllotalpa nitens	Ingrisch, 2006
3HGCY	8NQ28	accepted	species	Gryllotalpa brevilyra	Townsend, 1983
6KTNT	8NQ28	accepted	species	Gryllotalpa ornata	Walker, 1869
6KTN4	8NQ28	accepted	species	Gryllotalpa isfahan	Ingrisch, Nikouei & Hatami, 2006
6L5MP	8NQ28	accepted	species	Gryllotalpa marismortui	Broza, Blondheim & Nevo, 1998
3HGDC	8NQ28	accepted	species	Gryllotalpa cophta	(Haan, 1844)
6KTN3	8NQ28	accepted	species	Gryllotalpa howensis	Tindale, 1928
3HGCW	8NQ28	accepted	species	Gryllotalpa brachyptera	Tindale, 1928
3HGFV	8NQ28	accepted	species	Gryllotalpa vigintiunum	Baccetti, 1991
6L5N9	8NQ28	accepted	species	Gryllotalpa babinda	Otte & Alexander, 1983
3HGDL	8NQ28	accepted	species	Gryllotalpa elegans	Chopard, 1934
3HGDW	8NQ28	accepted	species	Gryllotalpa gryllotalpa	(Linnaeus, 1758)
8QK9T	8NQ28	accepted	species	Gryllotalpa babetensis	Simeu-Noutchom & Kekeunou, 2021
6L5N3	8NQ28	accepted	species	Gryllotalpa insulana	Chopard, 1954
8PS9Y	8NQ28	accepted	species	Gryllotalpa stricta	Heer, 1865
3HGFM	8NQ28	accepted	species	Gryllotalpa spissidens	Townsend, 1983
6L5MS	8NQ28	accepted	species	Gryllotalpa jinxiuensis	You & Li, 1990
3HGF5	8NQ28	accepted	species	Gryllotalpa parva	Townsend, 1983
8QJTV	8NQ28	accepted	species	Gryllotalpa tombelensis	Simeu-Noutchom & Kekeunou, 2021
3HGD2	8NQ28	accepted	species	Gryllotalpa bulla	Townsend, 1983
3HGDT	8NQ28	accepted	species	Gryllotalpa gorkhana	Ingrisch, 2006
6L5MR	8NQ28	accepted	species	Gryllotalpa inermis	Chopard, 1925
BSLJL	8NQ28	synonym	subgenus	Gryllotalpa (Curtilla)	Oken, 1815
8P89G	8NQ28	ambiguous synonym	species	Gryllotalpa africana	Townsend, 1983
6KTMN	8NQ28	accepted	species	Gryllotalpa major	Saussure, 1874
8P6MY	8NQ28	ambiguous synonym	species	Austrotalpa pluvialis	Otte & Alexander, 1983
3HGFJ	8NQ28	accepted	species	Gryllotalpa sedecim	Baccetti & Capra, 1978
6L5NV	8NQ28	accepted	species	Gryllotalpa viginti	Baccetti & Capra, 1978
