col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKXL	8NKR2	accepted	subfamily	Meconematinae	Burmeister, 1838
8PS4D	8NKXL	accepted	tribe	Meconematini	Burmeister, 1838
8PTFG	8NKXL	accepted	tribe	Phisidini	Jin, 1987
8PS4S	8NKXL	accepted	tribe	Phlugidini	Eichler, 1938
8NNLF	8NKXL	accepted	genus	Brinckiella	Chopard, 1955
8NY9T	8PS4D	accepted	genus	Pseudothaumaspis	Gorochov, 1998
C43M6	8PS4D	accepted	genus	Chandozhinskia	Gorochov, 1993
8NWR6	8PS4D	accepted	genus	Paracosmetura	Liu, 2000
8NMT6	8PS4D	accepted	genus	Athaumaspis	Wang & Liu, 2014
8NZ8J	8PS4D	accepted	genus	Sinodecma	Shi, Bian & Chang, 2011
8QHSF	8PS4D	accepted	genus	Sinocosmetura	Guo, Shi & Chang, 2021
8NZ5Y	8PS4D	accepted	genus	Shoveliteratura	Shi, Bian & Chang, 2011
8NVT5	8PS4D	accepted	genus	Neocononicephora	Gorochov, 1998
8NRFD	8PS4D	accepted	genus	Epiproctopsis	Gorochov, 2016
8PTPB	8PS4D	accepted	subtribe	Acilacridina	Gorochov, 2017
8P4D2	8PS4D	accepted	genus	Zaxiphidiopsis	Gorochov, 1993
8NRR7	8PS4D	accepted	genus	Exoteratura	Gorochov, 2002
8NRZR	8PS4D	accepted	genus	Gibbomeconema	Ishikawa, 1999
8NZNP	8PS4D	accepted	genus	Sumatropsis	Gorochov, 2011
8NLZZ	8PS4D	accepted	genus	Amyttopsis	Beier, 1965
8NLZW	8PS4D	accepted	genus	Amytta	Karsch, 1888
8NRJ4	8PS4D	accepted	genus	Euanisous	Hebard, 1922
8P228	8PS4D	accepted	genus	Tettigoniopsis	Yamasaki, 1982
8NL5R	8PS4D	accepted	genus	Abaxinicephora	Gorochov & Kang, 2005
8PVHT	8PS4D	accepted	genus	Xiangothaumaspis	Xin, Wang & Shi, 2020
8NY6S	8PS4D	accepted	genus	Pseudokuzicus	Gorochov, 1993
8NLQZ	8PS4D	accepted	genus	Allocyrtopsis	Wang & Liu, 2012
8NMSL	8PS4D	accepted	genus	Asymmetricercus	Mitoki, 1999
8QJYL	8PS4D	accepted	genus	Acosmetides	Chang, Wang & Shi, 2021
8P236	8PS4D	accepted	genus	Thaumaspis	Bolívar, 1900
8NWYP	8PS4D	accepted	genus	Paraphlugiolopsis	Bian & Shi, 2014
8PTW5	8PS4D	accepted	genus	Allogrigoriora	Wang & Liu, 2018
BTPF2	8PS4D	accepted	genus	Guangxia	An, Chen & Shi, 2023
8NLRK	8PS4D	accepted	genus	Alloteratura	Hebard, 1922
8PVDW	8PS4D	accepted	genus	Similameconema	Dou & Shi, 2018
8NZ98	8PS4D	accepted	genus	Sinoxizicus	Gorochov & Kang, 2005
8NZT9	8PS4D	accepted	genus	Tamdaora	Gorochov, 1998
8NY5Q	8PS4D	accepted	genus	Pseudocosmetura	Liu, Zhou & Bi, 2010
8NZ96	8PS4D	accepted	genus	Sinothaumaspis	Wang, Liu & Li, 2015
8NSWH	8PS4D	accepted	genus	Indokuzicus	Gorochov, 1998
8NVWZ	8PS4D	accepted	genus	Neoxizicus	Gorochov, 1998
8NQJN	8PS4D	accepted	genus	Cyrtaspis	Fischer, 1853
8NLLR	8PS4D	accepted	genus	Afroconema	Gorochov, 1993
