col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKXY	8NKMW	accepted	subfamily	Mogoplistinae	Costa, 1855
8PS3D	8NKXY	accepted	tribe	Arachnocephalini	Gorochov, 1984
8PS4J	8NKXY	accepted	tribe	Mogoplistini	Costa, 1855
8QJ4W	8PS3D	accepted	subtribe	Bothromogoplistina	Gorochov, 2020
8NMKV	8PS3D	accepted	genus	Archornebius	Gorochov, 2010
8NY43	8PS3D	accepted	genus	Pseudarachnocephalus	Gorochov, 2010
8QHP5	8PS3D	accepted	subtribe	Pseudomogoplistina	Gorochov, 2020
8QHLD	8PS3D	accepted	subtribe	Arachnocephalina	Gorochov, 1984
8NVMN	8PS4J	accepted	genus	Musgravia	Otte, 1994
8NN9P	8PS4J	accepted	genus	Biama	Otte & Alexander, 1983
8P2H2	8PS4J	accepted	genus	Tubarama	Yamasaki, 1985
8NRKH	8PS4J	accepted	genus	Eucycloptilum	Chopard, 1935
8NZYS	8PS4J	accepted	genus	Terraplistes	Ingrisch, 2006
8NYDF	8PS4J	accepted	genus	Pteromogoplistes	Gorochov, 2012
8NQ9X	8PS4J	accepted	genus	Hoplosphyrum	Rehn & Hebard, 1912
8NTZ5	8PS4J	accepted	genus	Marinna	Otte & Alexander, 1983
8NT42	8PS4J	accepted	genus	Kalyra	Otte & Alexander, 1983
8NPVJ	8PS4J	accepted	genus	Collendina	Otte & Alexander, 1983
8NZSZ	8PS4J	accepted	genus	Talia	Otte & Alexander, 1983
8NXT9	8PS4J	accepted	genus	Pongah	Otte & Alexander, 1983
8NVDR	8PS4J	accepted	genus	Micrornebius	Chopard, 1969
8NTRF	8PS4J	accepted	genus	Oligacanthopus	Rehn & Hebard, 1912
8P2YP	8PS4J	accepted	genus	Yarabina	Otte, 1994
8NT6D	8PS4J	accepted	genus	Kiah	Otte & Alexander, 1983
8NQQ9	8PS4J	accepted	genus	Derectaotus	Chopard, 1936
8NWKB	8PS4J	accepted	genus	Pachyornebius	Chopard, 1969
8NWWG	8PS4J	accepted	genus	Paramogoplistes	Gorochov, 1984
8NVJQ	8PS4J	accepted	genus	Mogoplistes	Serville, 1838
8NRCN	8PS4J	accepted	genus	Eomogoplistes	Gorochov, 2012
8NVCR	8PS4J	accepted	genus	Microgryllus	Philippi, 1863
8NS57	8PS4J	accepted	genus	Gotvendia	Bolívar, 1927
8QKPT	8QJ4W	accepted	genus	Bothromogoplistes	Gorochov, 2020
8NNLM	8QJ4W	accepted	genus	Cycloptiloides	Sjöstedt, 1910
5VQ8B	8NMKV	accepted	species	Archornebius balticus	Gorochov, 2010
4NL9M	8NY43	accepted	species	Pseudarachnocephalus dominicanus	Gorochov, 2010
4NL9N	8NY43	accepted	species	Pseudarachnocephalus latiusuculus	Gorochov, 2010
8NY7J	8QHP5	accepted	genus	Pseudomogoplistes	Gorochov, 1984
8NNLN	8QHLD	accepted	genus	Cycloptilum	Scudder, 1869
8NMHL	8QHLD	accepted	genus	Arachnocephalus	Costa, 1855
8NWDM	8QHLD	accepted	genus	Ornebius	Guérin-Méneville, 1844
8NPDP	8QHLD	accepted	genus	Ectatoderus	Guérin-Méneville, 1847
8NQZ7	8QHLD	accepted	genus	Discophallus	Gorochov, 2009
8NMH3	8QHLD	accepted	genus	Apterornebius	Ingrisch, 2006
6RR38	8NVMN	accepted	species	Musgravia munbilla	(Otte & Alexander, 1983)
6S32W	8NVMN	accepted	species	Musgravia nimmitabel	(Otte & Alexander, 1983)
6S2QW	8NVMN	accepted	species	Musgravia natarina	(Otte & Alexander, 1983)
44QDY	8NVMN	accepted	species	Musgravia cowandilla	(Otte & Alexander, 1983)
8NQPN	8NVMN	synonym	genus	Lara	Otte & Alexander, 1983
6RR2W	8NVMN	accepted	species	Musgravia kalimna	(Otte & Alexander, 1983)
44QDZ	8NVMN	accepted	species	Musgravia hackeri	(Chopard, 1951)
LQ8Z	8NN9P	accepted	species	Biama allumba	Otte & Alexander, 1983
LQ97	8NN9P	accepted	species	Biama iloura	Otte & Alexander, 1983
LQ92	8NN9P	accepted	species	Biama arila	Otte & Alexander, 1983
LQ94	8NN9P	accepted	species	Biama atalumba	Otte & Alexander, 1983
LQ98	8NN9P	accepted	species	Biama joonaloona	Otte & Alexander, 1983
LQ9B	8NN9P	accepted	species	Biama noccundra	Otte & Alexander, 1983
LQ95	8NN9P	accepted	species	Biama camira	Otte & Alexander, 1983
LQ93	8NN9P	accepted	species	Biama arupingi	Otte & Alexander, 1983
LQ99	8NN9P	accepted	species	Biama kantalpa	Otte & Alexander, 1983
LQ96	8NN9P	accepted	species	Biama coorari	Otte & Alexander, 1983
5WJL8	8NN9P	accepted	species	Biama larnoo	Otte & Alexander, 1983
7CXY2	8P2H2	accepted	species	Tubarama iriomotejimana	Yamasaki, 1985
6H6M2	8NRKH	accepted	species	Eucycloptilum parvum	Chopard, 1962
6H6LV	8NRKH	accepted	species	Eucycloptilum veali	Chopard, 1935
6H6LQ	8NRKH	accepted	species	Eucycloptilum longipes	Chopard, 1935
55HX4	8NZYS	accepted	species	Terraplistes excisa	Ingrisch, 2006
55HWZ	8NZYS	accepted	species	Terraplistes brevicauda	Ingrisch, 2006
55HX5	8NZYS	accepted	species	Terraplistes ingrischi	Tan, Dawwrueng & Artchawakom, 2015
55HX2	8NZYS	accepted	species	Terraplistes chantri	Ingrisch, 2006
55HX7	8NZYS	accepted	species	Terraplistes niger	(Ingrisch, 1987)
55HX6	8NZYS	accepted	species	Terraplistes kradung	Ingrisch, 2006
55HX3	8NZYS	accepted	species	Terraplistes erawan	Ingrisch, 2006
4PZJ6	8NYDF	accepted	species	Pteromogoplistes grandis	Gorochov, 2012
4PZJ7	8NYDF	accepted	species	Pteromogoplistes smithii	(Scudder, 1890)
8QKKD	8NQ9X	synonym	genus	Haplosphyrum	Rehn & Hebard, 1912
3MN5F	8NQ9X	accepted	species	Hoplosphyrum rufum	(Chopard, 1932)
6MDRT	8NQ9X	accepted	species	Hoplosphyrum aztecum	(Saussure, 1897)
6MDS5	8NQ9X	accepted	species	Hoplosphyrum occidentale	(Scudder, 1869)
3MN5B	8NQ9X	accepted	species	Hoplosphyrum boreale	(Scudder, 1902)
3MN5C	8NQ9X	accepted	species	Hoplosphyrum griseum	(Philippi, 1863)
3MN5G	8NQ9X	accepted	species	Hoplosphyrum skottsbergi	Chopard, 1923
3Y6NZ	8NTZ5	accepted	species	Marinna mira	Otte & Alexander, 1983
3Y6NV	8NTZ5	accepted	species	Marinna bumboa	Otte & Alexander, 1983
3Y6P3	8NTZ5	accepted	species	Marinna pangarinda	Otte & Alexander, 1983
3Y6P2	8NTZ5	accepted	species	Marinna pallida	(Chopard, 1925)
3Y6P4	8NTZ5	accepted	species	Marinna ulandi	Otte & Alexander, 1983
3Y6NY	8NTZ5	accepted	species	Marinna jerrima	Otte & Alexander, 1983
735MW	8NTZ5	accepted	species	Marinna barinya	Otte & Alexander, 1983
3Y6NT	8NTZ5	accepted	species	Marinna arapala	Otte & Alexander, 1983
3Y6NW	8NTZ5	accepted	species	Marinna ingoorala	Otte & Alexander, 1983
3Y6NX	8NTZ5	accepted	species	Marinna iranda	Otte & Alexander, 1983
3QZPC	8NT42	accepted	species	Kalyra gililpi	Otte & Alexander, 1983
3QZPF	8NT42	accepted	species	Kalyra mjobergi	(Chopard, 1925)
6NJSK	8NT42	accepted	species	Kalyra karka	Otte & Alexander, 1983
3QZPD	8NT42	accepted	species	Kalyra goparinga	Otte & Alexander, 1983
3QZPG	8NT42	accepted	species	Kalyra pillinda	Otte & Alexander, 1983
X36S	8NPVJ	accepted	species	Collendina fascipes	(Chopard, 1951)
5ZM49	8NPVJ	accepted	species	Collendina kira	Otte & Alexander, 1983
X36W	8NPVJ	accepted	species	Collendina ora	Otte & Alexander, 1983
X36V	8NPVJ	accepted	species	Collendina mamoura	Otte & Alexander, 1983
X36R	8NPVJ	accepted	species	Collendina elanora	Otte & Alexander, 1983
X36T	8NPVJ	accepted	species	Collendina iterala	Otte & Alexander, 1983
54LGD	8NZSZ	accepted	species	Talia pitonga	Otte & Alexander, 1983
54LGC	8NZSZ	accepted	species	Talia brevithorax	(Chopard, 1951)
54LGB	8NZSZ	accepted	species	Talia bandumu	Otte & Alexander, 1983
4LTRH	8NXT9	accepted	species	Pongah wanboo	Otte & Alexander, 1983
4LTRF	8NXT9	accepted	species	Pongah ilara	Otte & Alexander, 1983
4LTRG	8NXT9	accepted	species	Pongah indooroopilly	Otte & Alexander, 1983
8NVDS	8NVDR	synonym	genus	Micrornebius	Chopard, 1968
73HXH	8NVDR	accepted	species	Micrornebius maninjau	Ingrisch, 2006
435JD	8NVDR	accepted	species	Micrornebius mandai	Tan, 2014
435JF	8NVDR	accepted	species	Micrornebius perrarus	Yang & Yen, 2001
435J8	8NVDR	accepted	species	Micrornebius kopisua	Tan & Ingrisch, 2013
435HY	8NVDR	accepted	species	Micrornebius cylindricus	Ingrisch, 2006
435J4	8NVDR	accepted	species	Micrornebius hainanensis	Yin, 1998
435HZ	8NVDR	accepted	species	Micrornebius distinctus	Tan, 2014
435JB	8NVDR	accepted	species	Micrornebius lineatus	Ingrisch, 2006
435J5	8NVDR	accepted	species	Micrornebius incertus	(Ingrisch, 1998)
435J3	8NVDR	accepted	species	Micrornebius gracilicornis	Chopard, 1969
435JG	8NVDR	accepted	species	Micrornebius spadiceus	Gorochov, 1994
6RHXH	8NVDR	accepted	species	Micrornebius lesnei	(Chopard, 1935)
435HX	8NVDR	accepted	species	Micrornebius aquilus	Gorochov, 1992
435J9	8NVDR	accepted	species	Micrornebius laem	Ingrisch, 2006
435JC	8NVDR	accepted	species	Micrornebius malaya	Tan & Kamaruddin, 2013
435HW	8NVDR	accepted	species	Micrornebius annandalei	(Chopard, 1924)
435J6	8NVDR	accepted	species	Micrornebius inopinatus	Ingrisch, 2006
435J2	8NVDR	accepted	species	Micrornebius eclipsus	Tan, 2014
435J7	8NVDR	accepted	species	Micrornebius insularis	Ingrisch, 2006
8PQF8	8NTRF	synonym	genus	Oligocanthopus	Rehn & Hebard, 1912
495G6	8NTRF	accepted	species	Oligacanthopus prograptus	Rehn & Hebard, 1912
5CR7F	8P2YP	accepted	species	Yarabina alawara	(Otte & Alexander, 1983)
8PPNK	8P2YP	synonym	genus	Maroa	Otte & Alexander, 1983
5CR7J	8P2YP	accepted	species	Yarabina indiwara	(Otte & Alexander, 1983)
5CR7H	8P2YP	accepted	species	Yarabina dardoana	(Otte & Alexander, 1983)
5CR7G	8P2YP	accepted	species	Yarabina australicus	(Chopard, 1925)
3R73T	8NT6D	accepted	species	Kiah palanu	Otte & Alexander, 1983
