col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKYB	8NKRD	accepted	subfamily	Nemobiinae	Saussure, 1877
8PSFM	8NKYB	synonym	subfamily	Nemobiidae	Saussure, 1877
8PVBK	8NKYB	accepted	genus	Pineronemobius	Yong, 2018
8NZSH	8NKYB	accepted	genus	Tahitina	Hebard, 1933
8PT9J	8NKYB	accepted	tribe	Marinemobiini	Gorochov, 1985
8PSY3	8NKYB	accepted	tribe	Burcini	Gorochov, 1986
8QJ27	8NKYB	accepted	genus	Claranemobius	He & Ma, 2021
8P34D	8NKYB	accepted	genus	Zucchiella	de Mello, 1990
8NT47	8NKYB	accepted	genus	Kanakinemobius	Desutter-Grandcolas, 2016
8NN2Z	8NKYB	accepted	genus	Baltonemobius	Gorochov, 2010
8PT6D	8NKYB	accepted	tribe	Grylliscini	Gorochov, 1986
8NWNZ	8NKYB	accepted	genus	Paora	Gorochov, 1986
8NVDC	8NKYB	accepted	genus	Micronemobius	Ingrisch, 1987
8NQC4	8NKYB	accepted	genus	Hygronemobius	Hebard, 1913
8PV3D	8NKYB	accepted	genus	Giganemobius	Shen & He, 2020
9GW5B	8NKYB	synonym	subfamily	Nemobiites	Saussure, 1877
8PTJ5	8NKYB	accepted	tribe	Pteronemobiini	Vickery, 1973
8NSMH	8NKYB	accepted	genus	Homonemobius	Chopard, 1935
8NPZH	8NKYB	accepted	genus	Cophoscottia	Chopard, 1951
8QKD3	8NKYB	accepted	genus	Fibunemobius	He & Ma, 2021
8PT8W	8NKYB	accepted	tribe	Lissotrachelini	Hubbell, 1938
BV6JT	8NKYB	accepted	genus	Palaeonemobius	Laurent & Desutter-Grandcolas, 2023
8PVCL	8NKYB	accepted	genus	Qionemobius	Shen & He, 2020
8NZ2X	8NKYB	accepted	genus	Scottiola	Uvarov, 1940
8QJ7Y	8NKYB	accepted	genus	Erexitonemobius	He & Ma, 2021
8PTBR	8NKYB	accepted	tribe	Nemobiini	Saussure, 1877
8NL7G	8NKYB	accepted	genus	Absonemobius	Desutter-Grandcolas, 1993
8NPZD	8NKYB	accepted	genus	Cophonemobius	Chopard, 1929
8QKG6	8NKYB	accepted	genus	Impetunemobius	He & Ma, 2021
8NZNC	8NKYB	accepted	genus	Sudanicus	Werner, 1913
8Q377	8PVBK	accepted	species	Pineronemobius histrionicus	(Zayas, 1976)
54JZL	8NZSH	accepted	species	Tahitina mumfordi	Hebard, 1933
8NMGW	8PT9J	accepted	genus	Apteronemobius	Chopard, 1929
8NNQJ	8PT9J	accepted	genus	Caconemobius	Kirby, 1906
8PV2Q	8PT9J	accepted	genus	Eumarinemobius	Gorochov & Tan, 2018
8NTZ4	8PT9J	accepted	genus	Marinemobius	Gorochov, 1985
8PQLY	8PT9J	accepted	genus	Parapteronemobius	Furukawa, 1970
8PSWH	8PT9J	synonym	tribe	Apteronemobiini	Ichikawa, Murai & Honda, 2000
8NZCN	8PSY3	accepted	genus	Speonemobius	Chopard, 1924
8QJRM	8PSY3	accepted	genus	Gabusibius	Hugel & Desutter-Grandcolas, 2021
8PV76	8PSY3	accepted	genus	Neoburcus	Gorochov, 2018
8PNJJ	8PSY3	accepted	genus	Burcus	Gorochov, 1986
8PV8K	8PSY3	accepted	genus	Paraburcus	Gorochov, 2018
8NZSS	8PSY3	accepted	genus	Taiwanemobius	Yang & Chang, 1996
8QK4P	8PSY3	accepted	genus	Makalapobius	Hugel & Desutter-Grandcolas, 2021
8NWX3	8PSY3	accepted	genus	Paranemobius	Saussure, 1877
8QK3H	8QJ27	accepted	species	Claranemobius yaoquensis	He & Ma, 2021
5D8XX	8P34D	accepted	species	Zucchiella atlantica	de Mello, 1990
5D8XY	8P34D	accepted	species	Zucchiella matiottiae	Pereira, Sperber & Lhano, 2011
3R24C	8NT47	accepted	species	Kanakinemobius mandjelia	Desutter-Grandcolas, 2016
KJ8B	8NN2Z	accepted	species	Baltonemobius fossilis	Gorochov, 2010
8NS74	8PT6D	accepted	genus	Grylliscus	Tarbinsky, 1930
4CJ4S	8NWNZ	accepted	species	Paora gusevae	Gorochov, 1986
4322C	8NVDC	accepted	species	Micronemobius punctatus	Ingrisch, 1987
6MM36	8NQC4	accepted	species	Hygronemobius basalis	(Walker, 1869)
3NBMM	8NQC4	accepted	species	Hygronemobius tetraplagion	Desutter-Grandcolas, 1993
3NBLS	8NQC4	accepted	species	Hygronemobius amoenus	Chopard, 1920
3NBMF	8NQC4	accepted	species	Hygronemobius nanus	Desutter-Grandcolas, 1993
3NBLX	8NQC4	accepted	species	Hygronemobius daphne	Otte & Peck, 1998
3NBLR	8NQC4	accepted	species	Hygronemobius alleni	(Morse, 1905)
3NBMN	8NQC4	accepted	species	Hygronemobius torquatus	Desutter-Grandcolas, 1993
3NBMD	8NQC4	accepted	species	Hygronemobius longespinosus	Chopard, 1956
3NBMH	8NQC4	accepted	species	Hygronemobius nigrofasciatus	Desutter-Grandcolas, 1993
6MLQT	8NQC4	accepted	species	Hygronemobius indaia	Pereira, Miyoshi & Martins, 2013
3NBLP	8NQC4	accepted	species	Hygronemobius albipalpus	(Saussure, 1877)
3NBMK	8NQC4	accepted	species	Hygronemobius speculi	(McNeill, 1901)
3NBLV	8NQC4	accepted	species	Hygronemobius benoisti	Chopard, 1920
3NBLZ	8NQC4	accepted	species	Hygronemobius dialeucus	Martins & Pereira, 2014
3NBM8	8NQC4	accepted	species	Hygronemobius guriri	Pereira, Miyoshi & Martins, 2013
6MLR5	8NQC4	accepted	species	Hygronemobius minutipennis	Bruner, 1916
3NBM3	8NQC4	accepted	species	Hygronemobius dissimilis	(Saussure, 1874)
3NBLQ	8NQC4	accepted	species	Hygronemobius albolineatus	Desutter-Grandcolas, 1993
3NBMB	8NQC4	accepted	species	Hygronemobius iperoigae	Pereira, Miyoshi & Martins, 2013
3NBM7	8NQC4	accepted	species	Hygronemobius epia	Otte & Perez-Gelabert, 2009
3NBMJ	8NQC4	accepted	species	Hygronemobius sanaco	(Otte & Perez-Gelabert, 2009)
3NBMG	8NQC4	accepted	species	Hygronemobius nemoralis	(Saussure, 1874)
3NBM4	8NQC4	accepted	species	Hygronemobius duckensis	Martins & Pereira, 2014
3NBLT	8NQC4	accepted	species	Hygronemobius araucanus	(Saussure, 1874)
3NBMC	8NQC4	accepted	species	Hygronemobius liura	Hebard, 1915
3NBML	8NQC4	accepted	species	Hygronemobius stellatus	Desutter-Grandcolas, 1993
3NBM6	8NQC4	accepted	species	Hygronemobius elegans	Desutter-Grandcolas, 1993
3NBLW	8NQC4	accepted	species	Hygronemobius boreus	Desutter-Grandcolas, 1993
3NBM2	8NQC4	accepted	species	Hygronemobius diplagion	Desutter-Grandcolas, 1993
8PYZ7	8PV3D	accepted	species	Giganemobius jianfenglingensis	(Liu & Shi, 2016)
