col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKYH	8NKNJ	accepted	subfamily	Oecanthinae	Blanchard, 1845
8PSR7	8NKYH	synonym	subfamily	Oecanthites	Blanchard, 1845
C3C22	8NKYH	accepted	genus	Crassicorpus	Zheng, Yuan & Gu, 2023
BST27	8NKYH	accepted	supertribe	Oecanthidi	Blanchard, 1845
8NZHJ	8NKYH	accepted	genus	Stenoecanthus	Chopard, 1912
BTYYP	8NKYH	accepted	supertribe	Diatrypidi	Desutter-Grandcolas, 1988
8PSR6	8NKYH	synonym	subfamily	Oecanthiens	Blanchard, 1845
C3C24	C3C22	accepted	species	Crassicorpus maculatus	Zheng, Yuan & Gu, 2023
8NWYC	BST27	accepted	genus	Paraphasius	Chopard, 1927
8PTCD	BST27	accepted	tribe	Oecanthini	Blanchard, 1845
9H39H	BST27	accepted	genus	Apiculatus	Yuan, Ma & Gu, 2022
9H3HB	BST27	accepted	genus	Birmanioecanthus	Yuan, Ma & Gu, 2022
8PTNQ	BST27	accepted	tribe	Xabeini	Vickery & Kevan, 1983
4ZYS4	8NZHJ	accepted	species	Stenoecanthus gracillimus	Chopard, 1912
8Q446	8NZHJ	accepted	species	Stenoecanthus planixiphus	Campos & Desutter-Grandcolas, 2020
8NQSN	BTYYP	accepted	genus	Diatrypa	Saussure, 1874
8PTQ5	BTYYP	synonym	subtribe	Diatrypina	Desutter-Grandcolas, 1988
BSJ9Y	BTYYP	synonym	tribe	Diatrypini	Desutter-Grandcolas, 1988
4D7XK	8NWYC	accepted	species	Paraphasius lepturoides	Chopard, 1927
8NW7F	8PTCD	accepted	genus	Oecanthodes	Toms & Otte, 1988
8NTQ2	8PTCD	accepted	genus	Oecanthus	Serville, 1831
8P2QL	8PTCD	accepted	genus	Viphyus	Otte, 1988
9H3HN	9H39H	accepted	species	Apiculatus cretaceus	Yuan, Ma & Gu, 2022
9H3FD	9H3HB	accepted	species	Birmanioecanthus haplostichus	Yuan, Ma & Gu, 2022
BVB9K	8PTNQ	accepted	infratribe	Xabea	Vickery & Kevan, 1983
9H3FM	8PTNQ	synonym	tribe	Xabini	Vickery & Kevan, 1983
8PTNP	8PTNQ	synonym	tribe	Xabeinae	Vickery & Kevan, 1983
BVDLJ	8PTNQ	accepted	infratribe	Prognathogryllus	Perkins, 1899
35G8D	8NQSN	accepted	species	Diatrypa volodymyri	Gorochov, 2013
35G87	8NQSN	accepted	species	Diatrypa splendens	Costa Lima, 1958
6D2W6	8NQSN	accepted	species	Diatrypa lineata	Gorochov, 2013
8PVRC	8NQSN	accepted	subgenus	Diatrypa (Diatrypa)	Saussure, 1874
35G88	8NQSN	accepted	species	Diatrypa striata	Gorochov, 2013
35G7W	8NQSN	accepted	species	Diatrypa maculata	Gorochov, 2013
35G78	8NQSN	accepted	species	Diatrypa apithoides	Saussure, 1897
