col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKZD	8NKR2	accepted	subfamily	Phaneropterinae	Burmeister, 1838
8NSZJ	8NKZD	accepted	genus	Itokiia	Sjöstedt, 1902
8NX7C	8NKZD	accepted	genus	Platylyra	Scudder, 1898
8NRDV	8NKZD	accepted	genus	Ephippitythoidea	Tepper, 1892
8NWZ2	8NKZD	accepted	genus	Paraphylloptera	Carl, 1914
8PTNK	8NKZD	accepted	tribe	Vossiini	Cadena-Castañeda, 2015
8NSWF	8NKZD	accepted	genus	Indogneta	Ingrisch & Shishodia, 2000
8NMX5	8NKZD	accepted	genus	Austrodontura	Fontana & Buzzetti, 2004
8NMD9	8NKZD	accepted	genus	Aphroptera	Bolívar, 1902
C7ZT3	8NKZD	accepted	tribe	Plangiopsidini	Cadena-Castañeda, 2021
8NRXQ	8NKZD	accepted	genus	Gatunella	Uvarov, 1940
8NZ2J	8NKZD	accepted	genus	Scolocerca	Ragge, 1980
8PTP2	8NKZD	accepted	tribe	Zeuneriini	Karsch, 1890
8NXWR	8NKZD	accepted	genus	Procaedicia	Bolívar, 1902
BW96V	8NKZD	accepted	infratribe	Isopserae	Brunner von Wattenwyl, 1878
8NN4D	8NKZD	accepted	genus	Baryprostha	Karsch, 1891
8PS4R	8NKZD	accepted	tribe	Phaneropterini	Burmeister, 1838
8NPYX	8NKZD	accepted	genus	Conversifastigia	Liu & Kang, 2008
8NR6F	8NKZD	accepted	genus	Ectomoptera	Ragge, 1980
8NQV2	8NKZD	accepted	genus	Dicranopsyra	Dohrn, 1892
8NLR3	8NKZD	accepted	genus	Alloducetia	Xia & Liu, 1993
8NVZH	8NKZD	accepted	genus	Niphella	Bolívar, 1900
8NV25	8NKZD	accepted	genus	Materuana	Hemp, 2017
8NYFD	8NKZD	accepted	genus	Puerula	Bolívar, 1906
8NVFV	8NKZD	accepted	genus	Miltinobates	Sjöstedt, 1902
8NMR8	8NKZD	accepted	genus	Astathomima	Karny, 1929
8PTDZ	8NKZD	accepted	tribe	Percynini	Cadena-Castañeda, 2015
8PT85	8NKZD	accepted	tribe	Insarini	Rehn & Hebard, 1914
8NRNL	8NKZD	accepted	genus	Euryastes	Ragge, 1980
8NT66	8NKZD	accepted	genus	Khaoyaiana	Ingrisch, 1990
9GTSX	8NKZD	accepted	tribe	Pycnopalpini	Cadena-Castañeda, 2014
8PSV5	8NKZD	accepted	tribe	Acrometopini	Brunner von Wattenwyl, 1878
8NYHC	8NKZD	accepted	genus	Qinlingea	Liu & Kang, 2007
8NT9H	8NKZD	accepted	genus	Ladnea	Walker, 1869
8PTFX	8NKZD	accepted	tribe	Phyllopterini	Brunner von Wattenwyl, 1878
BTYMG	8NKZD	accepted	tribe	Myllocentrini	Massa, 2023
9GLTD	8NKZD	accepted	genus	Balneum	Piza, 1967
BW98B	8NKZD	accepted	infratribe	Aegimiae	Brunner von Wattenwyl, 1878
8NNN4	8NKZD	accepted	genus	Bueacola	Sjöstedt, 1912
BVD98	8NKZD	accepted	infratribe	Acridopezae	Brunner von Wattenwyl, 1878
8NXLN	8NKZD	accepted	genus	Physocorypha	Karsch, 1896
8NRQ9	8NKZD	accepted	genus	Euxenica	Bruner, 1915
8PTL2	8NKZD	accepted	tribe	Steirodontini	Brunner von Wattenwyl, 1878
8PS3F	8NKZD	accepted	tribe	Barbitistini	Jacobson, 1905
8PT4F	8NKZD	accepted	tribe	Elimaeini	Brunner von Wattenwyl, 1891
BW96D	8NKZD	accepted	infratribe	Pseudophaneropterae	Brunner von Wattenwyl, 1878
8NRBC	8NKZD	accepted	genus	Enthephippion	Bruner, 1915
9GLXQ	8NKZD	accepted	genus	Choirorhynchus	Piza, 1974
BW95M	8NKZD	accepted	infratribe	Turpiliae	Brunner von Wattenwyl, 1878
8P2FX	8NKZD	accepted	genus	Tropidonotacris	Chopard, 1954
8PT42	8NKZD	accepted	tribe	Ducetiini	Brunner von Wattenwyl, 1878
8NPJ3	8NKZD	accepted	genus	Chinensis	Özdikmen, 2009
8NXNT	8NKZD	accepted	genus	Platycaedicia	Hebard, 1922
8NVRH	8NKZD	accepted	genus	Natricia	Walker, 1869
8NTSS	8NKZD	accepted	genus	Macedna	Karsch, 1891
8NRLB	8NKZD	accepted	genus	Eulophophyllum	Hebard, 1922
8PSYK	8NKZD	accepted	tribe	Catoptropterigini	Massa, 2016
8NZ3V	8NKZD	accepted	genus	Semicarinata	Liu & Kang, 2007
8NRXZ	8NKZD	accepted	genus	Gelatopoiidion	Zacher, 1909
BVD99	8NKZD	accepted	infratribe	Cosmophylla	Brunner von Wattenwyl, 1878
8NWZJ	8NKZD	accepted	genus	Parapolichne	Bolívar, 1902
BW98D	8NKZD	accepted	infratribe	Dysmorphae	Brunner von Wattenwyl, 1878
8NV78	8NKZD	accepted	genus	Meruterrana	Sjöstedt, 1912
8NRQK	8NKZD	accepted	genus	Execholyrus	Henry, 1940
BTP7S	8NKZD	accepted	infratribe	Aniarae	Brunner von Wattenwyl, 1878
BW999	8NKZD	accepted	infratribe	Centroferae	Brunner von Wattenwyl, 1878
8PSVM	8NKZD	accepted	tribe	Amblycoryphini	Brunner von Wattenwyl, 1878
8NTRD	8NKZD	accepted	genus	Lunidia	Hemp, 2010
8PTBB	8NKZD	accepted	tribe	Mirolliini	Brunner von Wattenwyl, 1878
8NNMN	8NKZD	accepted	genus	Brycoptera	Ragge, 1981
8PTD2	8NKZD	accepted	tribe	Otiaphysini	Karsch, 1889
9GLTV	8NKZD	accepted	genus	Bertius	Piza, 1974
8NYVD	8NKZD	accepted	genus	Sanabria	Walker, 1869
8NXSF	8NKZD	accepted	genus	Polygamus	Carl, 1914
BTYMJ	8NKZD	accepted	genus	Pseudoeurycorypha	Massa, 2023
8NR7J	8NKZD	accepted	genus	Elbeniopsis	Dohrn, 1906
8NM8N	8NKZD	accepted	genus	Anormalous	Liu, 2011
8PVDM	8NKZD	accepted	genus	Sentia	Hemp, 2019
8NY72	8NKZD	accepted	genus	Pseudomacedna	Liu, 2014
8NWQ4	8NKZD	accepted	genus	Paracaedicia	Brunner von Wattenwyl, 1891
8NVG7	8NKZD	accepted	genus	Mimoscudderia	Carl, 1914
8NQ34	8NKZD	accepted	genus	Corycomima	Karsch, 1896
8NQSJ	8NKZD	accepted	genus	Diastellidea	Bolívar, 1902
8NYJJ	8NKZD	accepted	genus	Raggeiella	Cadena-Castañeda, 2015
8PT7M	8NKZD	accepted	tribe	Holochlorini	Brunner von Wattenwyl, 1878
8NXYS	8NKZD	accepted	genus	Pronomapyga	Rehn, 1914
8NZ76	8NKZD	accepted	genus	Sikoriella	Carl, 1914
8PTH4	8NKZD	accepted	tribe	Preussiini	Karsch, 1890
8PTDQ	8NKZD	accepted	tribe	Pardalotini	Brunner von Wattenwyl, 1878
