col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NKPQ	8NKGC	accepted	family	Prophalangopsidae	Kirby, 1906
8PRZX	8NKPQ	accepted	subfamily	Protaboilinae	Gorochov, 1995
8NQ63	8NKPQ	accepted	genus	Cratohaglopsis	Martins-Neto, 1991
8PRX2	8NKPQ	accepted	subfamily	Chifengiinae	Hong, 1982
8PVF2	8NKPQ	accepted	genus	Sinuijus	Fang & So, 2020
8PS2W	8NKPQ	accepted	subfamily	Tettohaglinae	Gorochov, 2003
8PS2R	8NKPQ	accepted	subfamily	Termitidiinae	Zeuner, 1939
8NKTS	8NKPQ	accepted	subfamily	Cyphoderrinae	Gorochov, 1988
8NT5W	8NKPQ	accepted	genus	Kevania	Martins-Neto, 1991
8NSQT	8NKPQ	accepted	genus	Hylophalangopsis	Lin & Huang, 2006
8NZ56	8NKPQ	accepted	genus	Shangxiania	Zhang, 1993
8NWTM	8NKPQ	accepted	genus	Parahaglopsis	Hong, 1992
8NKZY	8NKPQ	accepted	subfamily	Prophalangopsinae	Kirby, 1906
8PRW9	8NKPQ	accepted	subfamily	Aboilinae	Martynov, 1925
8NXZV	8PRZX	accepted	genus	Protaboilus	Gorochov, 1988
Z9P4	8NQ63	accepted	species	Cratohaglopsis santanaensis	Martins-Neto, 1991
8PRX3	8PRX2	synonym	subfamily	Chifenginae	Hong, 1982
8NMPZ	8PRX2	accepted	genus	Ashanga	Zherikhin, 1985
8NWTL	8PRX2	accepted	genus	Parahagla	Sharov, 1968
8NPHC	8PRX2	accepted	genus	Chifengia	Hong, 1982
8NLL6	8PRX2	accepted	genus	Aenigmoilus	Gorochov, Jarzembowski & Coram, 2006
8Q3XV	8PVF2	accepted	species	Sinuijus baektoensis	Fang & So, 2020
8P22D	8PS2W	accepted	genus	Tettohagla	Gorochov, 1996
8P227	8PS2R	accepted	genus	Tettigoilus	Gorochov, Jarzembowski & Coram, 2006
8NY3H	8PS2R	accepted	genus	Pseudaboilus	Gorochov, Jarzembowski & Coram, 2006
