col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NL27	8NKR2	accepted	subfamily	Pseudophyllinae	Burmeister, 1838
8PSTN	8NL27	accepted	supertribe	Pseudophylliti	Burmeister, 1838
8PTGV	8NL27	accepted	tribe	Polyancistrini	Brunner von Wattenwyl, 1895
8PMGZ	8NL27	synonym	other	Pseudophyllidae	Burmeister, 1838
8NMK6	8NL27	accepted	genus	Archepseudophylla	Nel, Prokop & Ross, 2008
BV6PH	8NL27	synonym	subfamily	Pseudophyllides	Burmeister, 1838
8PSTM	8NL27	accepted	supertribe	Pleminiiti	Brunner von Wattenwyl, 1895
8PTKL	8NL27	accepted	tribe	Simoderini	Brunner von Wattenwyl, 1895
8PSY8	8PSTN	accepted	tribe	Callimenellini	Gorochov, 1990
8PSX2	8PSTN	accepted	tribe	Aspidonotini	Brunner von Wattenwyl, 1895
8PTDC	8PSTN	accepted	tribe	Pantecphylini	Brunner von Wattenwyl, 1895
8PT2N	8PSTN	accepted	tribe	Cymatomerini	Brunner von Wattenwyl, 1895
8PTFR	8PSTN	accepted	tribe	Phrictini	Bolívar, 1903
8PTHQ	8PSTN	accepted	tribe	Pseudophyllini	Burmeister, 1838
8PTFW	8PSTN	accepted	tribe	Phyllomimini	Brunner von Wattenwyl, 1895
8PTGT	8PTGV	synonym	tribe	Polyancistri	Brunner von Wattenwyl, 1895
8NNVN	8PTGV	accepted	genus	Camposiella	Hebard, 1924
8PSRY	8PTGV	synonym	tribe	Polyancistrinae	Brunner von Wattenwyl, 1895
8NZDT	8PTGV	accepted	genus	Spinapecta	Naskrecki & Lopes-Andrade, 2005
8NYTS	8PTGV	accepted	genus	Sagephorus	Redtenbacher, 1895
8NZCJ	8PTGV	accepted	genus	Spelaeala	Rehn, 1943
8NXS3	8PTGV	accepted	genus	Polyancistroides	Rehn, 1901
8PVG5	8PTGV	accepted	genus	Tainacanthus	Perez-Gelabert, 2020
8NXS4	8PTGV	accepted	genus	Polyancistrus	Serville, 1831
8PX5B	8NMK6	accepted	species	Archepseudophylla wenshanensis	Nel, Wang, Engel, Huang, Jia, Su & Wappler, 2020
8PX59	8NMK6	accepted	species	Archepseudophylla nanzhaoica	Nel, Wang, Engel, Huang, Jia, Su & Wappler, 2020
G8C9	8NMK6	accepted	species	Archepseudophylla fossilis	Nel, Prokop & Ross, 2008
G8CB	8NMK6	accepted	species	Archepseudophylla melanospila	(Cockerell, 1921)
9GVLH	8PSTM	accepted	tribe	Eucocconotini	Beier, 1954
8PTGK	8PSTM	accepted	tribe	Pleminiini	Brunner von Wattenwyl, 1895
8PTJ8	8PSTM	accepted	tribe	Pterophyllini	Karny, 1925
9GVLY	8PSTM	accepted	tribe	Leptotettigini	Beier, 1954
8PSWC	8PSTM	accepted	tribe	Aphractini	Brunner von Wattenwyl, 1895
8PTLT	8PSTM	accepted	tribe	Teleutiini	Beier, 1960
8PSRW	8PSTM	synonym	supertribe	Pleminiinae	Brunner von Wattenwyl, 1895
8PT87	8PSTM	accepted	tribe	Ischnomelini	Beier, 1960
8PT7N	8PSTM	accepted	tribe	Homalaspidiini	Otte, 1997
8PTGG	8PSTM	accepted	tribe	Platyphyllini	Brunner von Wattenwyl, 1895
8PSZP	8PSTM	accepted	tribe	Cocconotini	Brunner von Wattenwyl, 1895
8NXLK	8PTKL	accepted	genus	Phyrama	Karsch, 1889
8NTZQ	8PTKL	accepted	genus	Mastighaphoides	Weidner, 1965
8P2S2	8PTKL	accepted	genus	Wattenwyliella	Carl, 1914
8NTP6	8PTKL	accepted	genus	Lonchitophyllum	Brunner von Wattenwyl, 1895
8NZT3	8PTKL	accepted	genus	Tallebudgeroptera	Rentz, Su & Ueshima, 2015
8PSSM	8PTKL	synonym	tribe	Simoderinae	Brunner von Wattenwyl, 1895
8NZ7Q	8PTKL	accepted	genus	Simodera	Karsch, 1891
8NX2H	8PTKL	accepted	genus	Parasimodera	Carl, 1914
8PTKK	8PTKL	synonym	tribe	Simoderae	Brunner von Wattenwyl, 1895
8NVR4	8PTKL	accepted	genus	Narea	Walker, 1870
8NN4X	8PTKL	accepted	genus	Chloracantha	Hebard, 1922
8NNSC	8PSY8	accepted	genus	Callimenellus	Walker, 1871
8NMQP	8PSX2	accepted	genus	Aspidonotus	Brullé, 1835
8PSWZ	8PSX2	synonym	tribe	Aspidonoti	Brunner von Wattenwyl, 1895
8NWNP	8PTDC	accepted	genus	Pantecphylus	Karsch, 1890
8PTDB	8PTDC	synonym	tribe	Pantecphyli	Brunner von Wattenwyl, 1895
8NXNR	8PT2N	accepted	genus	Platenia	Dohrn, 1888
8NQHS	8PT2N	accepted	genus	Cymatomera	Schaum, 1853
8PT2M	8PT2N	synonym	tribe	Cymatomerae	Brunner von Wattenwyl, 1895
8NYVC	8PT2N	accepted	genus	Sanaa	Walker, 1870
8NZWS	8PT2N	accepted	genus	Tegra	Walker, 1870
8NYWJ	8PT2N	accepted	genus	Sathrophyllia	Stål, 1874
8P2JZ	8PT2N	accepted	genus	Typhoptera	Kirby, 1906
8NW8C	8PT2N	accepted	genus	Olcinia	Stål, 1877
8NX25	8PT2N	accepted	genus	Parasanaa	Beier, 1944
8NZWT	8PT2N	accepted	genus	Tegrolcinia	de Jong, 1939
