col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NL2P	8NKR2	accepted	subfamily	Saginae	Brunner von Wattenwyl, 1878
8PTJV	8NL2P	synonym	tribe	Sagini	Brunner von Wattenwyl, 1878
8NR93	8NL2P	accepted	genus	Emptera	Saussure, 1888
8NPQV	8NL2P	accepted	genus	Clonia	Stål, 1855
8NPQW	8NL2P	accepted	genus	Cloniella	Kaltenbach, 1971
9H3DX	8NL2P	synonym	subfamily	Sagiens	Brunner von Wattenwyl, 1878
8NXBH	8NL2P	accepted	genus	Peringueyella	Saussure, 1888
8NYT4	8NL2P	accepted	genus	Saga	Charpentier, 1825
8PSSD	8NL2P	synonym	subfamily	Sagidae	Brunner von Wattenwyl, 1878
39LN8	8NR93	accepted	species	Emptera indica	(Herbst, 1786)
8PVPC	8NPQV	accepted	subgenus	Clonia (Hemiclonia)	Kirby, 1906
B7ZL3	8NPQV	accepted	subgenus	Clonia (Xanthoclonia)	Kaltenbach, 1971
8PVPB	8NPQV	accepted	subgenus	Clonia (Clonia)	Stål, 1855
B7ZD4	8NPQV	accepted	subgenus	Clonia (Leptoclonia)	Kaltenbach, 1971
5ZBQS	8NPQW	accepted	species	Cloniella zambesica	Kaltenbach, 1971
5ZC33	8NPQW	accepted	species	Cloniella praedatoria	(Distant, 1892)
4F2LR	8NXBH	accepted	species	Peringueyella zulu	Kaltenbach, 1971
4F2LP	8NXBH	accepted	species	Peringueyella macrocephala	(Schaum, 1853)
4F2LQ	8NXBH	accepted	species	Peringueyella rentzi	Kaltenbach, 1981
4F2LN	8NXBH	accepted	species	Peringueyella jocosa	Saussure, 1888
78ZVL	8NYT4	accepted	species	Saga beieri	Kaltenbach, 1967
6WZW3	8NYT4	accepted	species	Saga hellenica	Kaltenbach, 1967
4TXV3	8NYT4	accepted	species	Saga ornata	Burmeister, 1838
6WZVN	8NYT4	accepted	species	Saga cappadocica	Werner, 1903
4TXV7	8NYT4	accepted	species	Saga quadrisignata	Philippi, 1863
4TXV5	8NYT4	accepted	species	Saga pedo	(Pallas, 1771)
