col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NL45	8NKR2	accepted	subfamily	Tettigoniinae	Krauss, 1902
8PRZG	8NL45	synonym	subfamily	Phasgonurinae	Karsch, 1893
8NVTQ	8NL45	accepted	genus	Neogampsocleis	Caudell, 1935
BSJ92	8NL45	synonym	subfamily	Decticinae	Herman, 1874
8PSMD	8NL45	synonym	subfamily	Apteropedetinae	Rentz, 1979
8PTCN	8NL45	accepted	tribe	Onconotini	Tarbinsky, 1940
8NR3L	8NL45	accepted	genus	Dreuxia	Chopard, 1966
8PT2X	8NL45	accepted	tribe	Decticini	Herman, 1874
8NRCC	8NL45	accepted	genus	Eodecticus	Poncrácz, 1928
8PTFP	8NL45	accepted	tribe	Pholidopterini	Ramme, 1951
8PS57	8NL45	accepted	tribe	Tettigoniini	Krauss, 1902
8PT5R	8NL45	accepted	tribe	Gampsocleidini	Brunner von Wattenwyl, 1893
8NNDY	8NL45	accepted	genus	Bolua	Ünal, 1999
8PT3Y	8NL45	accepted	tribe	Drymadusini	Uvarov, 1924
9GVKX	8NL45	synonym	subfamily	Locustinae	Latreille, 1802
8PT2K	8NL45	accepted	tribe	Ctenodecticini	Caudell, 1908
8PT67	8NL45	accepted	tribe	Glyphonotini	Tarbinsky, 1932
8PSWW	8NL45	accepted	tribe	Arytropteridini	Caudell, 1908
8PTBQ	8NL45	accepted	tribe	Nedubini	Gorochov, 1988
8PTG8	8NL45	accepted	tribe	Plagiostirini	Storozhenko, 1994
8PTGF	8NL45	accepted	tribe	Platycleidini	Brunner von Wattenwyl, 1893
46HKQ	8NVTQ	accepted	species	Neogampsocleis mokanshanensis	(Caudell, 1921)
8PTCM	8PTCN	synonym	tribe	Onconotinae	Tarbinsky, 1940
8NW9P	8PTCN	accepted	genus	Onconotus	Fischer von Waldheim, 1839
37NG3	8NR3L	accepted	species	Dreuxia incerta	Chopard, 1966
8PSNX	8PT2X	synonym	tribe	Decticidae	Herman, 1874
8PT2W	8PT2X	synonym	tribe	Dectici	Herman, 1874
8NQNF	8PT2X	accepted	genus	Decticus	Serville, 1831
6FHWY	8NRCC	accepted	species	Eodecticus maculatus	Poncrácz, 1928
8NXJ4	8PTFP	accepted	genus	Pholidoptera	Wesmaël, 1838
8QK54	8PTFP	accepted	genus	Aparapholidoptera	Çıplak, 2020
8NWYR	8PTFP	accepted	genus	Parapholidoptera	Maran, 1953
8QHTJ	8PTFP	accepted	genus	Spinopholidoptera	Çıplak, 2020
8P2MN	8PTFP	accepted	genus	Uvarovistia	Maran, 1953
8NRR4	8PTFP	accepted	genus	Exopholidoptera	Ünal, 1998
8NYCH	8PTFP	accepted	genus	Psorodonotus	Brunner von Wattenwyl, 1861
8NMD3	8PTFP	accepted	genus	Apholidoptera	Maran, 1953
8NRMS	8PTFP	accepted	genus	Eupholidoptera	Maran, 1953
8NNN5	8PS57	accepted	genus	Cyrtophyllicus	Hebard, 1908
