col:ID	col:parentID	col:status	col:rank	col:scientificName	col:authorship
8NL4D	8NKRD	accepted	subfamily	Trigonidiinae	Saussure, 1874
8QHY4	8NL4D	synonym	subfamily	Trigonidini	Saussure, 1874
8NM4V	8NL4D	accepted	genus	Anele	Otte, Carvalho & Shaw, 2003
8NT3S	8NL4D	accepted	genus	Kadavuxipha	Otte & Cowper, 2007
9JNP7	8NL4D	accepted	genus	Tavukixipha	Otte & Cowper, 2007
8Q9BM	8NL4D	accepted	genus	Emerasoma	He, 2020
8NTJM	8NL4D	accepted	genus	Levuxipha	Otte & Cowper, 2007
8PST2	8NL4D	synonym	subfamily	Trigonididae	Saussure, 1874
8Q9B4	8NL4D	accepted	genus	Abstrigonidium	He, 2020
8PS5B	8NL4D	accepted	tribe	Trigonidiini	Saussure, 1874
8NVQB	8NL4D	accepted	genus	Nanixipha	Otte, Carvalho & Shaw, 2003
8P2QZ	8NL4D	accepted	genus	Vitixipha	Otte & Cowper, 2007
8NYWR	8NL4D	accepted	genus	Savuxipha	Otte & Cowper, 2007
9WN8D	8NL4D	accepted	genus	Vudaxipha	Otte & Cowper, 2007
9WN7G	8NL4D	accepted	genus	Veisarixipha	Otte & Cowper, 2007
8NVNH	8NL4D	accepted	genus	Myrmegryllus	Fiebrig, 1907
8NVRL	8NL4D	accepted	genus	Nausorixipha	Otte & Cowper, 2007
8PTFZ	8NL4D	accepted	tribe	Phylloscyrtini	Chopard, 1968
8PST3	8NL4D	synonym	subfamily	Trigonidiens	Saussure, 1874
9GZV6	8NL4D	accepted	genus	Zilingxi	He, 2022
8NRSW	8NL4D	accepted	genus	Fijixipha	Otte & Cowper, 2007
8NVGN	8NL4D	accepted	genus	Minutixipha	Otte & Cowper, 2007
8P2NJ	8NL4D	accepted	genus	Vanuaxipha	Otte & Cowper, 2007
DWKP	8NM4V	accepted	species	Anele ulia	Otte, Carvalho & Shaw, 2003
9GMBQ	8NT3S	synonym	genus	Kadavuxipha	Otte & Cowper, 2007
3QXV9	8NT3S	accepted	species	Kadavuxipha soladamu	Otte & Cowper, 2007
C8FYG	9JNP7	synonym	genus	Tavukixipha	Otte & Cowper, 2007
54ZMK	9JNP7	accepted	species	Tavukixipha devo	Otte & Cowper, 2007
C55D8	9JNP7	synonym	genus	Tavukixipha	Otte & Cowper, 2007
8QKJK	8Q9BM	accepted	species	Emerasoma curvicerca	He, 2020
726QQ	8NTJM	accepted	species	Levuxipha viticola	Otte & Cowper, 2007
9GMCY	8NTJM	synonym	genus	Levuxipha	Otte & Cowper, 2007
8QJM2	8Q9B4	accepted	species	Abstrigonidium chloropodum	(He, 2017)
8NSD7	8PS5B	accepted	genus	Hebardinella	Chopard, 1932
8NLV5	8PS5B	accepted	genus	Anaxipha	Saussure, 1874
8NR2H	8PS5B	accepted	genus	Dolichoxipha	Chopard, 1951
8P2D7	8PS5B	accepted	genus	Trigonidium	Rambur, 1838
8NRHV	8PS5B	accepted	genus	Estrellina	Hebard, 1933
8NX3Y	8PS5B	accepted	genus	Paratrigonidium	Brunner von Wattenwyl, 1893
8NTTM	8PS5B	accepted	genus	Macroanaxipha	Hebard, 1928
8NV9P	8PS5B	accepted	genus	Metiochodes	Chopard, 1932
8NVRJ	8PS5B	accepted	genus	Natula	Gorochov, 1987
8PVDF	8PS5B	accepted	genus	Sectus	Ma & Pan, 2019
8NL5M	8PS5B	accepted	genus	Abanaxipha	Vickery & Poinar, 1994
8NXY7	8PS5B	accepted	genus	Prolaupala	Otte, 1994
8NM3R	8PS5B	accepted	genus	Anaxiphomorpha	Gorochov, 1987
8P32P	8PS5B	accepted	genus	Zarceus	Bolívar, 1895
8NZP8	8PS5B	accepted	genus	Svistella	Gorochov, 1987
8NYNB	8PS5B	accepted	genus	Rhicnogryllus	Chopard, 1925
8NLZT	8PS5B	accepted	genus	Amusurgus	Brunner von Wattenwyl, 1893
BWCRY	8PS5B	accepted	genus	Trigonidomorpha	Chopard, 1925
8NNN8	8PS5B	accepted	genus	Cyrtoxipha	Brunner von Wattenwyl, 1873
9GZVD	8PS5B	accepted	genus	Flospes	Ma & He, 2022
8NSMF	8PS5B	accepted	genus	Homoeoxipha	Saussure, 1874
8NTMX	8PS5B	accepted	genus	Lobeda	Walker, 1869
8NSQH	8PS5B	accepted	genus	Hydropedeticus	Miall & Gilson, 1902
8PTMK	8PS5B	synonym	tribe	Trigonidia	Saussure, 1874
8PQDB	8PS5B	accepted	genus	Nudilla	Gorochov, 1988
8NM2F	8PS5B	accepted	genus	Anacyrtoxipha	Chopard, 1934
8NPR9	8PS5B	accepted	genus	Falcicula	Rehn, 1903
8P32N	8PS5B	accepted	genus	Zarceomorpha	Gorochov, 1994
8NZQ7	8PS5B	accepted	genus	Symphyloxiphus	Rehn, 1906
8NT2M	8PS5B	accepted	genus	Jarmilaxipha	Otte & Peck, 1998
8NQK3	8PS5B	accepted	genus	Cyrtoxiphoides	Chopard, 1951
8P4D3	8PS5B	accepted	genus	Zudella	Gorochov, 1988
6RSJ6	8NVQB	accepted	species	Nanixipha nahoa	Otte, Carvalho & Shaw, 2003
5BM98	8P2QZ	accepted	species	Vitixipha vuda	Otte & Cowper, 2007
5BM96	8P2QZ	accepted	species	Vitixipha kilaka	Otte & Cowper, 2007
5BM94	8P2QZ	accepted	species	Vitixipha bua	Otte & Cowper, 2007
5BM93	8P2QZ	accepted	species	Vitixipha axios	Otte & Cowper, 2007
C5T9Y	8P2QZ	synonym	genus	Vitixipha	Otte & Cowper, 2007
5BM97	8P2QZ	accepted	species	Vitixipha peracta	Otte & Cowper, 2007
C8M5Y	8P2QZ	synonym	genus	Vitixipha	Otte & Cowper, 2007
5BM95	8P2QZ	accepted	species	Vitixipha chlora	Otte & Cowper, 2007
9GMPZ	8NYWR	synonym	genus	Savuxipha	Otte & Cowper, 2007
6XQZS	8NYWR	accepted	species	Savuxipha tromodes	Otte & Cowper, 2007
C8MLG	9WN8D	synonym	genus	Vudaxipha	Otte & Cowper, 2007
C5TK6	9WN8D	synonym	genus	Vudaxipha	Otte & Cowper, 2007
5BS9L	9WN8D	accepted	species	Vudaxipha kokabula	Otte & Cowper, 2007
7FJHP	9WN7G	accepted	species	Veisarixipha waivudawa	Otte & Cowper, 2007
C5R52	9WN7G	synonym	genus	Veisarixipha	Otte & Cowper, 2007
C8N8P	9WN7G	synonym	genus	Veisarixipha	Otte & Cowper, 2007
45BS2	8NVNH	accepted	species	Myrmegryllus dipterus	Fiebrig, 1907
45VGQ	8NVRL	accepted	species	Nausorixipha fulva	(Brunner von Wattenwyl, 1878)
45VGT	8NVRL	accepted	species	Nausorixipha viti	Otte & Cowper, 2007
45VGS	8NVRL	accepted	species	Nausorixipha navai	Otte & Cowper, 2007
45VGP	8NVRL	accepted	species	Nausorixipha euthetos	Otte & Cowper, 2007
45VGN	8NVRL	accepted	species	Nausorixipha dogotuki	Otte & Cowper, 2007
45VGR	8NVRL	accepted	species	Nausorixipha nakubalevu	Otte & Cowper, 2007
8NQ56	8PTFZ	accepted	genus	Cranistus	Stål, 1861
8NWSQ	8PTFZ	accepted	genus	Phylloscyrtus	Guérin-Méneville, 1844
8PTFY	8PTFZ	synonym	tribe	Phylloscirtinae	Chopard, 1968
8NWS2	8PTFZ	accepted	genus	Phyllopalpus	Uhler, 1864
9GZV4	9GZV6	accepted	species	Zilingxi dian	He, 2022
9GMLF	9GZV6	synonym	genus	Polycomus	He & Ma, 2022
9GZV5	9GZV6	accepted	species	Zilingxi danmai	He, 2022
6HZXB	8NRSW	accepted	species	Fijixipha configens	Otte & Cowper, 2007
6HZXL	8NRSW	accepted	species	Fijixipha atalos	Otte & Cowper, 2007
6HZXD	8NRSW	accepted	species	Fijixipha inaudax	Otte & Cowper, 2007
6HZXF	8NRSW	accepted	species	Fijixipha harpeza	Otte & Cowper, 2007
6HZXG	8NRSW	accepted	species	Fijixipha exuros	Otte & Cowper, 2007
6HZWX	8NRSW	accepted	species	Fijixipha titilans	Otte & Cowper, 2007
6HZWZ	8NRSW	accepted	species	Fijixipha naitasiri	Otte & Cowper, 2007
6HZWW	8NRSW	accepted	species	Fijixipha xipheres	Otte & Cowper, 2007
6HZXC	8NRSW	accepted	species	Fijixipha batia	Otte & Cowper, 2007
6HZWY	8NRSW	accepted	species	Fijixipha penita	Otte & Cowper, 2007
6HZX9	8NRSW	accepted	species	Fijixipha valens	Otte & Cowper, 2007
43KLV	8NVGN	accepted	species	Minutixipha exenios	Otte & Cowper, 2007
9GMFS	8NVGN	synonym	genus	Minutixipha	Otte & Cowper, 2007
7FGNQ	8P2NJ	accepted	species	Vanuaxipha tricosa	Otte & Cowper, 2007
C8N75	8P2NJ	synonym	genus	Vanuaxipha	Otte & Cowper, 2007
7FGNS	8P2NJ	accepted	species	Vanuaxipha koroni	Otte & Cowper, 2007
7FGNT	8P2NJ	accepted	species	Vanuaxipha eteni	Otte & Cowper, 2007
7FGNF	8P2NJ	accepted	species	Vanuaxipha dendriacos	Otte & Cowper, 2007
7FGNG	8P2NJ	accepted	species	Vanuaxipha adamatos	Otte & Cowper, 2007
C5QV4	8P2NJ	synonym	genus	Vanuaxipha	Otte & Cowper, 2007
7FGNR	8P2NJ	accepted	species	Vanuaxipha perfixa	Otte & Cowper, 2007
7FGNP	8P2NJ	accepted	species	Vanuaxipha xylicos	Otte & Cowper, 2007
8PGQF	8QJM2	synonym	species	Paratrigonidium chloropodum	He, 2017
BTTGM	8QJM2	synonym	species	Trigonidium (Paratrigonidium) chloropodum	(He, 2017)
3JX3P	8NSD7	accepted	species	Hebardinella americana	(Chopard, 1912)
8PV3Y	8NSD7	synonym	genus	Hebardiniella	Chopard, 1932
8P3D9	8NSD7	synonym	genus	Chopardina	Hebard, 1928
DK8G	8NLV5	accepted	species	Anaxipha titschacki	Chopard, 1954
8PN3K	8NLV5	synonym	genus	Anaxiphus	Saussure, 1878
DK4G	8NLV5	accepted	species	Anaxipha dolomedes	Otte & Perez-Gelabert, 2009
DK56	8NLV5	accepted	species	Anaxipha gracilis	(Scudder, 1869)
DK7C	8NLV5	accepted	species	Anaxipha prosenes	Otte, 2006
DK57	8NLV5	accepted	species	Anaxipha grandis	Chopard, 1968
DK75	8NLV5	accepted	species	Anaxipha phoxi	Otte & Perez-Gelabert, 2009
DK5N	8NLV5	accepted	species	Anaxipha laepseros	Otte, 2006
DK83	8NLV5	accepted	species	Anaxipha stolzmannii	(Bolívar, 1881)
DK7T	8NLV5	accepted	species	Anaxipha scitula	(Saussure, 1878)
66M63	8NLV5	accepted	species	Anaxipha festina	Otte & Perez-Gelabert, 2009
DK3L	8NLV5	accepted	species	Anaxipha bradephona	Desutter-Grandcolas, 2000
DK88	8NLV5	accepted	species	Anaxipha tamucu	Otte & Perez-Gelabert, 2009
DK8K	8NLV5	accepted	species	Anaxipha trigonidioides	Chopard, 1962
DK3J	8NLV5	accepted	species	Anaxipha bifasciata	Chopard, 1927
DK7V	8NLV5	accepted	species	Anaxipha sinktrilla	Otte & Perez-Gelabert, 2009
DK5Y	8NLV5	accepted	species	Anaxipha lucia	Otte & Perez-Gelabert, 2009
66LTP	8NLV5	accepted	species	Anaxipha mjobergi	Chopard, 1925
DK3R	8NLV5	accepted	species	Anaxipha bryani	Chopard, 1929
DK2Z	8NLV5	accepted	species	Anaxipha allotria	Otte, 2006
DK37	8NLV5	accepted	species	Anaxipha antidupos	Otte & Perez-Gelabert, 2009
DK49	8NLV5	accepted	species	Anaxipha cregyos	Otte & Perez-Gelabert, 2009
DK8S	8NLV5	accepted	species	Anaxipha variegata	(Chopard, 1912)
DK5T	8NLV5	accepted	species	Anaxipha latipennis	(Walker, 1869)
DK2W	8NLV5	accepted	species	Anaxipha agaea	Otte, 2006
DK3F	8NLV5	accepted	species	Anaxipha beccarii	Salfi, 1935
DK4W	8NLV5	accepted	species	Anaxipha fragilis	Hebard, 1924
DK8P	8NLV5	accepted	species	Anaxipha unicolor	(Scudder, 1869)
DK3D	8NLV5	accepted	species	Anaxipha atrifrons	(Bruner, 1916)
DK3V	8NLV5	accepted	species	Anaxipha calusa	Walker & Funk, 2014
DK92	8NLV5	accepted	species	Anaxipha volucer	Otte, 2006
DK7Z	8NLV5	accepted	species	Anaxipha smithi	(Saussure, 1897)
DK36	8NLV5	accepted	species	Anaxipha antictypos	Otte & Perez-Gelabert, 2009
DK6S	8NLV5	accepted	species	Anaxipha ornata	Chopard, 1938
DK5P	8NLV5	accepted	species	Anaxipha laevithorax	Chopard, 1927
66M5M	8NLV5	accepted	species	Anaxipha caledonica	Otte, 1987
DK87	8NLV5	accepted	species	Anaxipha tachephona	Desutter-Grandcolas, 2000
DK59	8NLV5	accepted	species	Anaxipha henryi	Chopard, 1936
DK3W	8NLV5	accepted	species	Anaxipha cayennensis	(Saussure, 1897)
DK3B	8NLV5	accepted	species	Anaxipha armstrongi	Chopard, 1929
DK4Q	8NLV5	accepted	species	Anaxipha esau	Rehn, 1918
66M5P	8NLV5	accepted	species	Anaxipha negrila	Otte & Perez-Gelabert, 2009
DK8Y	8NLV5	accepted	species	Anaxipha vittata	(Bolívar, 1888)
DK52	8NLV5	accepted	species	Anaxipha furva	(Karsch, 1893)
DK6Q	8NLV5	accepted	species	Anaxipha obscuripennis	(Chopard, 1930)
DK7D	8NLV5	accepted	species	Anaxipha pteticos	Otte, 2006
DK34	8NLV5	accepted	species	Anaxipha angusticollis	(Saussure, 1874)
66M67	8NLV5	accepted	species	Anaxipha tinnulacita	Walker & Funk, 2014
DK6D	8NLV5	accepted	species	Anaxipha nava	Otte, 2006
DK7S	8NLV5	accepted	species	Anaxipha scia	Hebard, 1915
DK4D	8NLV5	accepted	species	Anaxipha delicatula	(Scudder, 1878)
DK8W	8NLV5	accepted	species	Anaxipha vicina	Chopard, 1925
DK4F	8NLV5	accepted	species	Anaxipha dimidiatipes	(Bolívar, 1910)
